Značka,Model,Objem (l),Rok,Najeté km,Cena,Palivo,Převodovka,Výkon (kW),Zdroj
Kia,Cee D,1.6,2012,132984,149000,Nafta,Manuální,94,Sauto
Toyota,Avensis,2.0,2009,160233,149000,nafta,manual,93,Autoesa
Toyota,Iq,1.4,2009,149000,149000,Nafta,Manuální,66,Sauto
Seat,Ibiza,1.4,2013,124385,149000,benzín,manual,63,Autoesa
Honda,Accord,2.2,2009,171406,149000,Nafta,Manuální,110,Sauto
Nissan,Qashqai,2.0,2012,201988,149000,nafta,manual,110,Autoesa
Nissan,Qashqai,1.6,2012,220898,149000,Nafta,Manuální,96,Sauto
Nissan,Qashqai,2.0,2012,201988,149000,Nafta,Manuální,110,Sauto
Mazda,6,2.2,2013,190500,149000,Nafta,Manuální,110,Sauto
Mini,Cooper,1.6,2007,139000,149000,Nafta,Manuální,80,Sauto
Mitsubishi,Space,1.0,2020,65000,149000,Benzín,Manuální,52,Sauto
Jeep,Grand Cherokee,3.0,2005,269000,149000,Nafta,Automatická,160,Sauto
Ford,Focus,2.0,2011,150168,149000,nafta,manual,120,Autoesa
Volvo,S80,2.4,2008,254321,149000,Nafta,Automatická,136,Sauto
Dacia,Duster,1.6,2011,183670,149000,benzín,manual,77,Autoesa
Peugeot,Partner,1.6,2012,227338,149000,Nafta,Manuální,84,Sauto
Honda,Civic,1.3,2006,186000,149000,Hybridní,Automatická,70,Sauto
Honda,Civic,1.6,2013,194800,149000,Nafta,Manuální,88,Sauto
Mitsubishi,Asx,1.8,2012,195513,149000,Nafta,Manuální,110,Sauto
Toyota,Yaris,1.0,2013,70240,149900,Benzín,Manuální,51,Sauto
Mitsubishi,Asx,1.8,2013,182000,149900,Nafta,Manuální,110,Sauto
Nissan,Micra,1.2,2017,107564,149900,Benzín,Manuální,59,Sauto
Toyota,Yaris,1.3,2012,96592,149900,Benzín,Manuální,73,Sauto
Mini,Cooper,1.6,2011,231000,149900,Nafta,Manuální,82,Sauto
Hyundai,I30,1.4,2013,91270,149900,Benzín,Manuální,80,Sauto
Subaru,Forester,2.0,2012,199810,149900,Nafta,Manuální,108,Sauto
Mitsubishi,Asx,1.8,2011,184400,149900,Nafta,Manuální,110,Sauto
Dacia,Sandero,1.1,2016,37745,149900,Benzín,Manuální,54,Sauto
Mini,Cooper,2.0,2011,199780,149900,Nafta,Manuální,105,Sauto
Toyota,Verso,1.3,2011,149460,149900,Benzín,Manuální,73,Sauto
Seat,Leon,2.0,2012,194509,149900,Nafta,Manuální,130,Sauto
Honda,Cr V,2.2,2010,342000,149900,Nafta,Manuální,110,Sauto
Ford,C Max,1.6,2014,262400,149900,Nafta,Manuální,85,Sauto
Nissan,X Trail,2.0,2013,359920,149900,Nafta,Manuální,110,Sauto
Volvo,V40,2.0,2016,285000,149990,Nafta,Manuální,88,Sauto
Citroen,C8,2.0,2008,135815,149990,Benzín,Manuální,100,Sauto
Dacia,Logan,0.9,2017,62399,149990,Benzín,Manuální,66,Sauto
Bmw,Rada 3,2.5,2006,195949,149999,Benzín,Manuální,160,Sauto
Opel,Astra,1.4,2014,138000,149999,Benzín,Manuální,74,Sauto
Opel,Zafira,1.8,2010,189300,149999,Benzín,Manuální,103,Sauto
Opel,Astra,1.6,2016,230229,149999,Nafta,Manuální,118,Sauto
Mini,One,1.6,2010,163270,149999,Benzín,Automatická,72,Sauto
Peugeot,807,2.0,2013,169227,149999,Nafta,Manuální,100,Sauto
Honda,Cr V,2.2,2010,191389,149999,Nafta,Manuální,110,Sauto
Nissan,Nv200,1.6,2010,181000,149999,Benzín,Manuální,81,Sauto
Fiat,Freemont,2.0,2011,212589,149999,Nafta,Manuální,103,Sauto
Mercedes Benz,Clk,3.0,2006,264000,149999,Benzín,Automatická,170,Sauto
Opel,Astra,1.6,2014,149298,149999,Benzín,Manuální,85,Sauto
Kia,Cee D,1.6,2014,178000,149999,Benzín,Manuální,99,Sauto
Toyota,Auris,1.4,2014,248315,149999,Nafta,Manuální,66,Sauto
Subaru,Xv,2.0,2012,225454,149999,Nafta,Manuální,108,Sauto
Hyundai,Ix35,2.0,2010,196622,150000,benzín,manual,120,Autoesa
Toyota,RAV4,2.2,2009,221206,150000,nafta,automat,110,Autoesa
Mercedes Benz,Tridy C,3.0,2009,322000,150000,Nafta,Automatická,165,Sauto
Fiat,500,1.4,2013,154124,150000,benzín,manual,70,Autoesa
Peugeot,5008,2.0,2011,166190,150000,nafta,manual,110,Autoesa
Hyundai,I30,1.6,2012,156262,150000,nafta,manual,81,Autoesa
Peugeot,208,1.6,2016,146325,150000,nafta,manual,73,Autoesa
Škoda,Octavia,1.6,2011,182968,150000,nafta,manual,77,Autoesa
Škoda,Octavia,1.6,2012,200361,150000,nafta,automat,77,Autoesa
Ford,Focus,2.0,2013,179077,150000,nafta,manual,100,Autoesa
Ford,Mondeo,2.0,2010,169517,150000,nafta,manual,103,Autoesa
Ford,S-MAX,2.0,2010,227570,150000,nafta,automat,103,Autoesa
Mini,Countryman,1.6,2012,131558,150000,Benzín,Manuální,90,Sauto
Toyota,Verso,2.0,2011,154297,150000,nafta,manual,93,Autoesa
Mini,One,1.6,2012,109262,150000,Benzín,Manuální,55,Sauto
Renault,Scénic,1.5,2014,175028,150000,nafta,automat,81,Autoesa
Ford,Mondeo,2.0,2011,181197,150000,nafta,manual,103,Autoesa
Mercedes-Benz,GLK,2.2,2009,229589,150000,nafta,automat,125,Autoesa
Citroën,C3,1.6,2014,84737,150000,benzín,manual,88,Autoesa
Citroën,C3,1.4,2012,104758,150000,benzín,manual,70,Autoesa
Jeep,Compass,2.1,2013,208761,150000,Nafta,Manuální,120,Sauto
Seat,Toledo,1.2,2014,158152,150000,benzín,manual,63,Autoesa
Hyundai,I30,1.6,2014,195140,150000,benzín,manual,99,Autoesa
Nissan,Qashqai,2.0,2009,101207,150000,benzín,manual,104,Autoesa
Peugeot,308,1.6,2016,124571,150000,nafta,manual,88,Autoesa
Ford,Mondeo,2.0,2010,169517,150000,nafta,manual,129,Autoesa
Mercedes-Benz,Třída,2.2,2010,276339,150000,nafta,manual,100,Autoesa
Mercedes-Benz,Třída,1.5,2014,258777,150000,nafta,manual,80,Autoesa
Nissan,Qashqai,2.0,2011,216565,150000,Nafta,Manuální,110,Sauto
Citroën,C3,1.6,2010,76322,150000,benzín,manual,88,Autoesa
Dacia,Duster,1.6,2010,140106,150000,Benzín,Manuální,77,Sauto
Skoda,Rapid,1.2,2014,145051,150000,Benzín,Manuální,77,Sauto
Nissan,Qashqai,1.6,2010,132557,150000,benzín,manual,84,Autoesa
Jeep,Cherokee,2.8,2009,207596,150000,Nafta,Automatická,130,Sauto
Honda,Pilot,3.5,2003,159614,150000,Benzín,Automatická,179,Sauto
Ford,Mondeo,2.0,2010,167310,150000,nafta,manual,103,Autoesa
Citroen,Ds3,1.6,2014,104678,150000,Benzín,Manuální,88,Sauto
Ford,Mondeo,2.0,2012,159442,150000,nafta,manual,103,Autoesa
Fiat,Sedici,1.6,2013,115580,150000,Benzín,Manuální,88,Sauto
Honda,Civic,1.3,2012,150573,150000,Benzín,Manuální,73,Sauto
Dacia,Logan,1.0,2018,50756,150000,benzín,manual,54,Autoesa
Audi,A6,3.0,2012,279357,150000,nafta,automat,150,Autoesa
Renault,Koleos,2.0,2012,177790,150000,nafta,manual,110,Autoesa
Mazda,6,2.2,2014,252300,150000,Nafta,Manuální,110,Sauto
Nissan,Qashqai,2.0,2009,101207,150000,Benzín,Manuální,104,Sauto
Kia,Carens,1.6,2014,143924,150000,benzín,manual,99,Autoesa
Dacia,Duster,1.5,2011,182959,150000,Nafta,Manuální,66,Sauto
Dacia,Duster,1.6,2010,99320,150000,Benzín,Manuální,77,Sauto
Mercedes Benz,Tridy E,1.8,2011,240137,150000,Benzín,Automatická,135,Sauto
Peugeot,5008,1.6,2015,137000,150000,nafta,manual,88,Autoesa
Škoda,Fabia,1.2,2014,104547,150000,benzín,manual,63,Autoesa
Volkswagen,Golf,1.2,2010,154559,150000,benzín,manual,77,Autoesa
Mitsubishi,Space Star,1.0,2018,71221,150000,Benzín,Manuální,52,Sauto
Hyundai,I30,1.6,2013,156592,150000,benzín,manual,88,Autoesa
Seat,Altea,1.6,2013,123005,150000,nafta,automat,77,Autoesa
Honda,Civic,1.8,2009,103151,150000,Benzín,Manuální,103,Sauto
Mercedes-Benz,CLK,1.8,2008,175817,150000,benzín,automat,135,Autoesa
Honda,Cr V,2.0,2007,260901,150000,Benzín,Automatická,110,Sauto
Honda,Accord,2.0,2010,210150,150000,Benzín,Manuální,115,Sauto
Toyota,Verso,1.8,2009,87708,150000,benzín,automat,108,Autoesa
Volkswagen,Golf,2.0,2012,193379,150000,nafta,manual,103,Autoesa
Peugeot,4007,2.2,2008,141898,150000,nafta,manual,115,Autoesa
Fiat,Sedici,1.6,2013,115580,150000,benzín,manual,88,Autoesa
Volkswagen,Transporter,1.9,2006,225169,150000,nafta,manual,77,Autoesa
Peugeot,3008,1.6,2012,90987,150000,benzín,manual,88,Autoesa
Mazda,6,2.0,2009,148515,150000,benzín,manual,108,Autoesa
Volvo,C30,1.6,2007,98115,150000,Benzín,Manuální,74,Sauto
Mazda,3,1.6,2013,140467,150000,benzín,manual,77,Autoesa
Toyota,Yaris,1.3,2012,117304,150000,benzín,manual,73,Autoesa
Škoda,Octavia,1.6,2010,155032,150000,nafta,manual,77,Autoesa
Fiat,Ducato,3.0,2007,294055,150000,nafta,manual,116,Autoesa
Seat,Leon,1.4,2013,243111,150000,Benzín,Manuální,103,Sauto
Škoda,Octavia,1.6,2011,131056,150000,nafta,manual,77,Autoesa
Škoda,Rapid,1.6,2016,268329,150000,nafta,manual,85,Autoesa
Jeep,Cherokee,2.8,2009,217198,150000,Nafta,Automatická,130,Sauto
Hyundai,I30,1.6,2018,253876,150000,nafta,manual,81,Autoesa
Hyundai,Ix35,2.0,2010,196622,150000,Benzín,Manuální,120,Sauto
Dacia,Sandero,1.0,2018,43000,150000,Benzín,Manuální,54,Sauto
Dacia,Duster,1.6,2011,145972,150000,benzín,manual,77,Autoesa
Dacia,Duster,1.6,2012,116995,150000,benzín,manual,77,Autoesa
Jeep,Grand Cherokee,3.0,2007,173241,150000,Nafta,Automatická,155,Sauto
Audi,A6 Allroad,3.0,2008,411000,150000,Nafta,Automatická,171,Sauto
Audi,A4,2.0,2007,183935,150000,nafta,manual,103,Autoesa
Opel,Astra,1.6,2015,157892,150000,Nafta,Manuální,100,Sauto
Dacia,Dokker,1.6,2019,126215,150000,benzín,manual,75,Autoesa
Renault,Mégane,1.2,2014,100155,150000,benzín,manual,85,Autoesa
Fiat,500L,1.4,2013,154124,150000,Benzín,Manuální,70,Sauto
Opel,Insignia,2.0,2013,190000,150999,Nafta,Manuální,103,Sauto
Subaru,Xv,2.0,2012,185850,152000,Nafta,Manuální,108,Sauto
Škoda,Superb,2.0,2008,202958,152000,nafta,manual,103,Autoesa
Ford,Focus,1.0,2015,83592,153000,benzín,manual,74,Autoesa
Renault,Scénic,1.5,2013,122711,153000,nafta,manual,81,Autoesa
Škoda,Octavia,1.4,2012,192464,153000,benzín,automat,90,Autoesa
Škoda,Rapid,1.6,2015,174002,153000,nafta,manual,77,Autoesa
Jeep,Compass,2.1,2012,232000,153000,Nafta,Manuální,120,Sauto
Honda,Jazz,1.3,2009,74790,154000,Benzín,Manuální,73,Sauto
Opel,Astra,1.4,2017,167911,154000,Benzín,Manuální,74,Sauto
Mercedes Benz,Tridy M,3.0,2006,426658,154000,Nafta,Automatická,165,Sauto
Toyota,Auris,1.6,2012,161992,154000,benzín,manual,97,Autoesa
Honda,Accord,2.0,2009,186456,154000,Benzín,Manuální,115,Sauto
Mitsubishi,Asx,1.8,2013,172980,154000,Nafta,Manuální,110,Sauto
Mitsubishi,Asx,2.3,2018,223644,154000,Nafta,Automatická,110,Sauto
Nissan,Qashqai,2.0,2007,80000,154800,Benzín,Manuální,104,Sauto
Mazda,Mx 5,1.8,2007,150000,154800,Benzín,Manuální,93,Sauto
Mini,One,1.6,2011,165647,154900,Benzín,Manuální,55,Sauto
Bmw,Rada 3,2.0,2009,194000,154900,Nafta,Manuální,105,Sauto
Hyundai,I10,1.0,2017,63911,155000,benzín,manual,49,Autoesa
Volvo,V60,1.6,2014,247823,155000,nafta,manual,84,Autoesa
Škoda,Octavia,1.4,2009,153017,155000,benzín,automat,90,Autoesa
Renault,Laguna,2.0,2012,127711,155000,benzín,manual,103,Autoesa
Volkswagen,Golf,2.0,2008,72223,155000,nafta,manual,103,Autoesa
Volkswagen,Polo,1.2,2013,88077,155000,benzín,manual,44,Autoesa
Citroën,Berlingo,1.6,2017,204680,155000,nafta,manual,88,Autoesa
Skoda,Superb,2.0,2011,316500,155000,Nafta,Automatická,103,Sauto
Peugeot,3008,1.6,2013,172243,155000,nafta,manual,84,Autoesa
Mazda,3,1.6,2012,139467,155000,nafta,manual,85,Autoesa
Opel,Astra,1.6,2015,179522,155000,Nafta,Manuální,100,Sauto
Opel,Astra,1.6,2019,191500,155000,Nafta,Manuální,81,Sauto
Škoda,Octavia,1.4,2010,110030,155000,benzín,manual,90,Autoesa
Subaru,Forester,2.0,2007,231200,155000,Benzín,Manuální,116,Sauto
Renault,Koleos,2.0,2012,185000,155000,Nafta,Manuální,110,Sauto
Seat,Ibiza,1.4,2012,99642,155000,Benzín,Manuální,63,Sauto
Mazda,6,2.0,2011,152479,155000,benzín,manual,114,Autoesa
Opel,Astra,1.6,2018,258000,155000,Nafta,Manuální,81,Sauto
Škoda,Citigo,1.0,2013,82976,155000,benzín,manual,50,Autoesa
Nissan,Juke,1.6,2010,70449,155000,benzín,manual,140,Autoesa
Honda,Civic,1.6,2013,181340,155000,Nafta,Manuální,88,Sauto
Audi,A3,1.4,2009,115079,155000,benzín,manual,92,Autoesa
Kia,Cee D,1.6,2015,163101,155000,Benzín,Manuální,99,Sauto
Škoda,Citigo,1.0,2014,90246,155000,benzín,manual,44,Autoesa
Hyundai,I30,1.6,2015,197173,155000,Nafta,Automatická,81,Sauto
Seat,Ibiza,1.2,2013,149631,155000,Benzín,Manuální,77,Sauto
Honda,Cr V,2.2,2007,164000,155000,Nafta,Manuální,103,Sauto
Honda,Civic,1.6,2014,162378,155000,Nafta,Manuální,88,Sauto
Volkswagen,Golf,1.4,2011,125946,155000,benzín,manual,118,Autoesa
Nissan,Micra,1.2,2016,139995,155000,Benzín,Manuální,59,Sauto
Seat,Toledo,1.2,2014,137898,155000,benzín,manual,63,Autoesa
Volkswagen,Caddy,1.4,2009,166084,155000,Benzín,Manuální,59,Sauto
Peugeot,308,1.6,2017,172775,155000,Nafta,Manuální,88,Sauto
Volkswagen,Touran,1.4,2011,200450,155000,benzín,manual,103,Autoesa
Hyundai,I10,1.0,2016,67478,155000,benzín,manual,49,Autoesa
Subaru,Xv,2.0,2013,206000,155800,Nafta,Manuální,108,Sauto
Bmw,Rada 5,3.0,2011,384174,155900,Nafta,Automatická,190,Sauto
Mercedes Benz,Tridy M,3.0,2006,278917,155900,Nafta,Automatická,165,Sauto
Nissan,Qashqai,1.6,2009,105384,156000,Benzín,Manuální,84,Sauto
Dacia,Duster,1.5,2012,212560,156000,Nafta,Manuální,66,Sauto
Mazda,6,2.2,2017,272000,156100,Nafta,Manuální,110,Sauto
Ford,Focus,1.0,2012,44853,157000,benzín,manual,74,Autoesa
Jeep,Grand Cherokee,4.7,2007,238102,157000,Benzín,Automatická,170,Sauto
Renault,Fluence,1.6,2015,46311,157000,benzín,manual,82,Autoesa
Citroën,DS4,1.6,2012,106654,157000,benzín,manual,88,Autoesa
Subaru,Impreza,1.6,2012,174509,157000,Benzín,Manuální,84,Sauto
Subaru,Impreza,1.6,2012,174509,157000,benzín,manual,84,Autoesa
Škoda,Superb,3.6,2009,228294,157000,benzín,automat,191,Autoesa
Renault,Scénic,1.6,2013,177104,158000,nafta,manual,96,Autoesa
Honda,Cr V,2.2,2007,188309,158000,Nafta,Manuální,103,Sauto
Ford,Focus,1.0,2018,172000,158000,Benzín,Manuální,92,Sauto
Peugeot,2008,1.2,2013,65137,158000,benzín,manual,60,Autoesa
Subaru,Forester,2.0,2014,252000,158000,Nafta,Manuální,108,Sauto
Subaru,Impreza,1.6,2013,203153,158000,Benzín,Manuální,84,Sauto
Mini,Cooper,1.6,2011,158121,158000,Benzín,Manuální,90,Sauto
Opel,Antara,2.2,2012,162000,158800,Nafta,Manuální,135,Sauto
Audi,A6 Allroad,3.0,2007,256900,158999,Nafta,Manuální,171,Sauto
Opel,Antara,2.2,2014,158794,159000,Nafta,Automatická,120,Sauto
Mercedes Benz,Tridy E,2.1,2010,309000,159000,Nafta,Automatická,150,Sauto
Bmw,Rada 3,3.0,2009,161906,159000,Benzín,Manuální,160,Sauto
Renault,Scenic,1.2,2014,151300,159000,Benzín,Manuální,97,Sauto
Mitsubishi,Asx,1.8,2010,177820,159000,Nafta,Manuální,85,Sauto
Mini,Cooper S,1.6,2007,153000,159000,Benzín,Manuální,125,Sauto
Volkswagen,Golf,1.4,2009,170267,159000,benzín,manual,90,Autoesa
Dacia,Sandero,0.9,2014,109633,159000,Benzín,Manuální,66,Sauto
Mazda,6,2.0,2009,186597,159000,Benzín,Manuální,108,Sauto
Volvo,Xc90,2.4,2006,280000,159000,Nafta,Automatická,136,Sauto
Volvo,V60,2.0,2013,271421,159000,Nafta,Automatická,120,Sauto
Ford,Galaxy,2.0,2009,175336,159000,nafta,manual,103,Autoesa
Skoda,Octavia,1.6,2014,279100,159000,Nafta,Manuální,77,Sauto
Mazda,6,2.2,2014,191000,159000,Nafta,Manuální,110,Sauto
Mini,Countryman,1.6,2013,197000,159000,Nafta,Manuální,82,Sauto
Mitsubishi,Pajero,3.2,2005,247000,159000,Nafta,Automatická,130,Sauto
Dacia,Duster,1.2,2018,126393,159000,benzín,manual,92,Autoesa
Mini,Cooper,1.6,2011,107190,159800,Nafta,Manuální,82,Sauto
Subaru,Tribeca,3.0,2006,127545,159800,Benzín,Automatická,180,Sauto
Mini,Clubman,1.6,2010,185423,159900,Nafta,Manuální,82,Sauto
Mazda,3,1.6,2010,170000,159900,Benzín,Manuální,77,Sauto
Nissan,Juke,1.6,2013,116700,159900,Benzín,Manuální,69,Sauto
Mitsubishi,Asx,1.8,2010,240620,159900,Nafta,Manuální,110,Sauto
Subaru,Outback,2.0,2014,333998,159900,Nafta,Automatická,110,Sauto
Seat,Toledo,1.2,2014,113785,159900,Benzín,Manuální,77,Sauto
Mitsubishi,Asx,1.8,2011,159100,159900,Nafta,Manuální,85,Sauto
Fiat,500C,1.2,2014,81699,159900,Benzín,Manuální,51,Sauto
Opel,Insignia,1.4,2013,107873,159900,Benzín,Manuální,103,Sauto
Jeep,Compass,2.1,2013,146205,159900,Nafta,Manuální,120,Sauto
Citroen,Ds5,2.0,2014,293776,159990,Nafta,Automatická,133,Sauto
Renault,Megane,1.2,2014,45349,159990,Benzín,Manuální,85,Sauto
Kia,Soul,1.6,2014,192960,159990,Benzín,Manuální,97,Sauto
Dacia,Logan,1.1,2017,58347,159990,Benzín,Manuální,54,Sauto
Citroen,C4 Picasso,1.6,2014,179911,159990,Nafta,Manuální,85,Sauto
Mini,Cooper S,1.6,2010,179267,159990,Benzín,Manuální,128,Sauto
Seat,Toledo,1.2,2016,182426,159990,Benzín,Manuální,81,Sauto
Citroen,Jumpy,1.6,2013,203281,159990,Nafta,Manuální,66,Sauto
Mercedes Benz,Tridy B,1.7,2009,134725,159999,Benzín,Automatická,85,Sauto
Mazda,6,2.2,2016,238000,159999,Nafta,Manuální,110,Sauto
Mitsubishi,Asx,1.8,2013,174522,159999,Nafta,Manuální,110,Sauto
Citroen,C8,2.0,2014,187433,159999,Nafta,Manuální,120,Sauto
Opel,Astra,1.4,2011,165175,159999,Benzín,Manuální,103,Sauto
Peugeot,5008,1.6,2014,183105,159999,Nafta,Manuální,84,Sauto
Opel,Insignia,2.0,2014,221475,159999,Nafta,Automatická,120,Sauto
Mazda,5,1.8,2009,168138,159999,Benzín,Manuální,85,Sauto
Kia,Rio,1.2,2016,143000,159999,Benzín,Manuální,61,Sauto
Renault,Megane,1.2,2015,87873,159999,Benzín,Manuální,85,Sauto
Mitsubishi,Outlander,2.0,2009,171890,159999,Nafta,Manuální,123,Sauto
Subaru,Outback,2.0,2013,190000,159999,Nafta,Manuální,110,Sauto
Kia,Carens,1.6,2016,177586,160000,LPG + benzín,manual,99,Autoesa
Dacia,Duster,1.6,2011,157668,160000,benzín,manual,77,Autoesa
Nissan,Pathfinder,2.5,2006,268110,160000,Nafta,Manuální,128,Sauto
Volvo,S60,2.0,2011,263030,160000,nafta,automat,120,Autoesa
Mercedes Benz,Tridy M,3.0,2010,284292,160000,Nafta,Automatická,165,Sauto
Dacia,Dokker,1.6,2018,178893,160000,LPG + benzín,manual,75,Autoesa
Audi,A6,2.7,2010,234511,160000,nafta,automat,140,Autoesa
Renault,Clio,1.1,2016,54816,160000,benzín,manual,54,Autoesa
Citroën,C5,1.6,2013,93454,160000,nafta,manual,84,Autoesa
Škoda,Octavia,2.0,2013,311096,160000,nafta,automat,110,Autoesa
Citroën,C4,1.4,2013,76869,160000,benzín,manual,70,Autoesa
Renault,Scénic,1.6,2016,160007,160000,nafta,manual,96,Autoesa
Volkswagen,Golf,1.4,2012,128640,160000,benzín,manual,90,Autoesa
Skoda,Superb,1.9,2009,172338,160000,Nafta,Manuální,77,Sauto
Dacia,Dokker,1.5,2014,141304,160000,Nafta,Manuální,55,Sauto
Mazda,6,2.0,2012,128599,160000,Benzín,Manuální,114,Sauto
Volkswagen,Golf,1.4,2010,153543,160000,benzín,manual,118,Autoesa
Renault,Scénic,1.6,2013,162445,160000,nafta,manual,96,Autoesa
Ford,Focus,1.0,2013,33534,160000,benzín,manual,92,Autoesa
Nissan,Juke,1.6,2010,151519,160000,LPG + benzín,Manuální,140,Sauto
Renault,Fluence,1.6,2016,46691,160000,Benzín,Manuální,82,Sauto
Nissan,Juke,1.2,2015,108275,160000,benzín,manual,85,Autoesa
Toyota,Prius,1.8,2010,281065,160000,Hybridní,Automatická,73,Sauto
Mitsubishi,Asx,1.8,2011,146725,160000,Nafta,Manuální,110,Sauto
Mercedes-Benz,CLC,1.8,2009,136371,160000,benzín,manual,135,Autoesa
Fiat,Dobló,1.4,2018,123724,160000,CNG + benzín,manual,88,Autoesa
Honda,Civic,1.3,2013,160171,160000,Benzín,Manuální,73,Sauto
Peugeot,3008,2.0,2014,135404,160000,nafta,manual,110,Autoesa
Dacia,Sandero,1.0,2020,51949,160000,benzín,manual,54,Autoesa
Toyota,Yaris,1.0,2012,62727,160000,Benzín,Manuální,51,Sauto
Bmw,Rada 3,2.0,2015,278527,160000,Nafta,Manuální,105,Sauto
Subaru,Forester,2.0,2012,208263,160000,Nafta,Manuální,108,Sauto
Volkswagen,Polo,1.2,2013,131505,160000,benzín,manual,66,Autoesa
Nissan,Qashqai,1.5,2012,187980,160000,Nafta,Manuální,81,Sauto
Volvo,V60,1.6,2014,230283,160000,nafta,manual,84,Autoesa
Ford,Galaxy,2.0,2010,184077,160000,nafta,manual,103,Autoesa
Opel,Astra,1.4,2012,149734,160000,Benzín,Manuální,103,Sauto
Citroën,C3,1.0,2015,33363,160000,benzín,manual,50,Autoesa
Hyundai,I30,1.6,2016,144605,160000,Nafta,Manuální,88,Sauto
Hyundai,I30,1.6,2017,99471,160000,Nafta,Manuální,81,Sauto
Dacia,Dokker,1.5,2014,141304,160000,nafta,manual,55,Autoesa
Honda,Civic,1.8,2011,129297,160000,Benzín,Manuální,103,Sauto
Volkswagen,Passat,1.4,2011,164690,162000,benzín,manual,90,Autoesa
Toyota,Verso,2.0,2012,149670,162000,nafta,manual,93,Autoesa
Peugeot,208,1.2,2016,38172,163000,benzín,manual,60,Autoesa
Bmw,Rada 3,2.0,2007,228000,163999,Nafta,Manuální,90,Sauto
Opel,Zafira,1.8,2014,141877,164000,Benzín,Manuální,88,Sauto
Opel,Astra,1.6,2016,163841,164000,Nafta,Manuální,81,Sauto
Honda,Cr V,2.2,2008,156971,164000,Nafta,Manuální,103,Sauto
Fiat,500,1.2,2011,103295,164900,Benzín,Automatická,51,Sauto
Mitsubishi,Lancer,1.8,2009,187100,164900,Benzín,Manuální,105,Sauto
Fiat,Scudo,2.0,2007,266800,164999,Nafta,Manuální,100,Sauto
Mazda,6,2.5,2008,200000,164999,Benzín,Manuální,125,Sauto
Renault,Clio,0.9,2017,111520,164999,Benzín,Manuální,66,Sauto
Fiat,500,0.9,2014,77500,164999,Benzín,Manuální,63,Sauto
Bmw,Rada 3,2.0,2010,225000,165000,Benzín,Manuální,105,Sauto
Renault,Megane,1.2,2015,118810,165000,Benzín,Manuální,85,Sauto
Honda,Cr V,2.2,2008,172970,165000,Nafta,Manuální,103,Sauto
Kia,Rio,1.2,2016,68967,165000,Benzín,Manuální,62,Sauto
Mitsubishi,Outlander,2.3,2012,273100,165000,Nafta,Manuální,130,Sauto
Mazda,3,1.5,2014,184434,165000,benzín,manual,74,Autoesa
Seat,Ibiza,1.4,2014,104000,165000,Benzín,Manuální,63,Sauto
Peugeot,208,1.2,2015,91785,165000,Benzín,Manuální,60,Sauto
Toyota,Auris,1.6,2013,129754,165000,benzín,manual,97,Autoesa
Opel,Insignia,1.6,2016,197367,165000,Nafta,Manuální,100,Sauto
Mini,Cooper,1.6,2007,138000,165000,Benzín,Manuální,128,Sauto
Renault,Laguna,2.0,2014,154050,165000,nafta,manual,96,Autoesa
Subaru,Xv,2.0,2013,138200,165000,Nafta,Manuální,108,Sauto
Seat,Leon,1.2,2013,152587,165000,benzín,manual,77,Autoesa
Dacia,Sandero,1.0,2019,69028,165000,benzín,manual,54,Autoesa
Honda,Civic,1.8,2011,163960,165000,Benzín,Manuální,103,Sauto
Bmw,Rada 3,2.0,2011,260000,165000,Nafta,Manuální,120,Sauto
Ford,S-MAX,2.0,2013,205228,165000,nafta,automat,103,Autoesa
Renault,Scenic,1.6,2013,128930,165000,Benzín,Manuální,81,Sauto
Renault,Clio,1.1,2016,39000,165000,Benzín,Manuální,54,Sauto
Opel,Insignia,2.0,2014,163154,165000,Nafta,Automatická,125,Sauto
Renault,Mégane,1.2,2015,118810,165000,benzín,manual,85,Autoesa
Dacia,Logan,1.1,2015,57000,165999,Benzín,Manuální,54,Sauto
Renault,Scénic,1.6,2013,168312,166000,nafta,manual,96,Autoesa
Subaru,Tribeca,3.0,2007,181657,166800,Benzín,Automatická,180,Sauto
Volkswagen,Golf Plus,1.4,2013,197825,167000,Benzín,Manuální,90,Sauto
Dacia,Sandero,1.0,2020,23002,167900,Benzín,Manuální,54,Sauto
Dacia,Lodgy,1.6,2016,50191,168000,Benzín,Manuální,75,Sauto
Opel,Astra,1.6,2017,177145,168000,Nafta,Manuální,81,Sauto
Dacia,Logan,0.9,2019,83651,168000,Benzín,Manuální,66,Sauto
Opel,Astra,1.0,2019,156121,168000,Benzín,Manuální,77,Sauto
Dacia,Logan,0.9,2019,116377,168000,Benzín,Manuální,66,Sauto
Fiat,500,1.2,2015,148000,169000,Benzín,Manuální,51,Sauto
Volvo,C30,1.6,2013,157340,169000,Nafta,Manuální,84,Sauto
Volkswagen,Golf,2.0,2010,153693,169000,nafta,manual,103,Autoesa
Renault,Clio,1.1,2017,61721,169000,Benzín,Manuální,54,Sauto
Jeep,Grand Cherokee,3.0,2006,249000,169000,Nafta,Automatická,160,Sauto
Mini,Cooper S,1.6,2008,158702,169000,Benzín,Manuální,128,Sauto
Nissan,Qashqai,1.6,2013,92000,169000,Benzín,Manuální,86,Sauto
Fiat,Doblo,1.2,2018,68968,169000,Nafta,Manuální,70,Sauto
Jeep,Cherokee,2.8,2005,200000,169000,Nafta,Automatická,120,Sauto
