Značka,Model,Objem (l),Najeté km,Cena,Palivo,Převodovka,Výkon (kW),Stari
Renault,Thalia,1.4,103505,42000,Benzin,Manualni,72,20
Renault,Megane,1.6,207308,42000,Benzin,Manualni,82,18
Peugeot,107,1.0,113091,42000,Benzin,Manualni,50,16
Peugeot,206,1.4,169211,43000,Benzin,Manualni,65,20
Mazda,6,2.3,146000,43000,Benzin,Manualni,122,18
Volvo,V50,2.0,239134,44000,Nafta,Manualni,100,21
Citroen,C8,2.2,229095,44000,Nafta,Manualni,94,21
Renault,Clio,1.2,175780,44000,Benzin,Manualni,48,18
Renault,Scenic,2.0,210014,44000,Benzin,Manualni,99,21
Honda,Accord,2.2,269724,44300,Nafta,Manualni,103,21
Subaru,Forester,2.0,340000,44444,Nafta,Manualni,108,12
Volvo,V50,2.0,303613,44770,Nafta,Manualni,100,21
Renault,Scenic,1.6,284000,44900,Benzin,Manualni,77,19
Mitsubishi,Colt,1.3,193000,44900,Benzin,Manualni,70,21
Honda,Civic,1.4,248792,44900,Benzin,Manualni,66,23
Citroen,C3 Picasso,1.6,257713,44990,Nafta,Manualni,80,16
Opel,Astra,1.7,215565,44999,Nafta,Manualni,74,20
Audi,A3,1.6,152722,45000,Benzin,Manualni,75,24
Honda,Civic,1.6,170292,45000,Benzin,Manualni,81,22
Dacia,Logan,1.4,102157,45000,Benzin,Manualni,55,16
Citroen,C4,2.0,242699,45000,Nafta,Automaticka,100,18
Dacia,Logan,1.6,198877,45000,Benzin,Manualni,77,16
Renault,Megane,1.9,280000,45000,Nafta,Manualni,96,17
Mazda,6,2.0,251229,45000,Benzin,Manualni,108,18
Renault,Clio,1.1,180000,45000,Benzin,Manualni,55,15
Seat,Ibiza,1.4,173287,45000,Benzin,Manualni,63,16
Mazda,5,1.8,185600,45000,Benzin,Manualni,85,20
Mitsubishi,Colt,1.3,203166,45000,Benzin,Manualni,70,18
Renault,Scenic,1.9,214742,45000,Nafta,Manualni,96,19
Citroen,C3,1.1,184016,45000,Benzin,Manualni,44,18
MercedesBenz,Tridy C,1.8,262000,45000,Benzin,Automaticka,120,21
Citroen,Xsara,1.6,176005,45000,Nafta,Manualni,80,17
MercedesBenz,Tridy B,2.0,344170,45000,Nafta,Manualni,80,20
Renault,Laguna,1.9,155909,45000,Nafta,Manualni,88,23
Mazda,2,1.4,171505,45000,Benzin,Manualni,59,18
Audi,100,2.0,249728,45000,Nafta,Manualni,51,44
Fiat,Grande Punto,1.2,230134,45000,Benzin,Manualni,48,17
Nissan,Micra,1.2,303509,45000,Benzin,Manualni,72,12
Opel,Corsa,1.2,223500,45000,Benzin,Manualni,59,18
Seat,Altea,1.6,262292,46000,Benzin,Manualni,75,18
Fiat,Doblo,1.6,89552,46000,Benzin,Manualni,76,21
Seat,Alhambra,1.9,309022,46000,Nafta,Manualni,85,21
Toyota,Corolla,1.6,193391,46000,Benzin,Manualni,81,23
Renault,Megane,1.6,248500,47000,Benzin,Manualni,82,16
Opel,Corsa,1.0,72353,47000,Benzin,Manualni,44,17
Opel,Astra,1.4,139900,47000,Benzin,Manualni,66,26
Fiat,Linea,1.4,255592,47000,Benzin,Automaticka,57,14
Ford,Focus,1.6,242715,47000,Nafta,Manualni,66,17
