Značka,Model,Objem (l),Najeté km,Cena,Palivo,Převodovka,Výkon (kW),Stari
Ford,Fiesta,1.1,26661,299900,Benzin,Manualni,63,7
BMW,Rada 5,3.0,316000,299990,Nafta,Automaticka,190,9
Toyota,Hilux,2.5,234000,299990,Nafta,Manualni,88,18
Fiat,Panda,1.0,9832,299990,Benzin,Manualni,51,1
Fiat,500,1.0,44295,299999,Benzin,Manualni,51,4
Mazda,3,2.0,150131,299999,Benzin,Automaticka,88,10
Kia,Sportage,1.6,35376,299999,Benzin,Manualni,99,11
BMW,Rada 5,3.0,247831,299999,Nafta,Automaticka,230,12
Ford,S Max,2.0,185000,299999,Nafta,Manualni,110,8
Opel,Mokka,1.6,155388,299999,Benzin,Manualni,85,8
Audi,A4,2.0,175687,299999,Nafta,Automaticka,130,12
Seat,Alhambra,2.0,219000,299999,Nafta,Manualni,103,11
Peugeot,508,2.0,160218,299999,Nafta,Automaticka,133,9
Peugeot,508,1.5,188064,299999,Nafta,Manualni,96,6
Citroen,C4 Picasso,2.0,56147,299999,Benzin,Manualni,96,7
Peugeot,3008,1.6,179625,299999,Nafta,Automaticka,88,8
Toyota,Land Cruiser,3.0,385000,299999,Nafta,Manualni,92,28
BMW,X5,3.0,201795,299999,Nafta,Automaticka,210,15
Audi,A3,1.4,154058,299999,Benzin,Manualni,92,10
Jeep,Renegade,2.0,139900,299999,Nafta,Manualni,103,10
Mazda,Cx 5,2.0,146440,299999,Benzin,Manualni,118,12
Skoda,Octavia,2.0,136117,300000,Nafta,Manualni,110,8
Mitsubishi,Space Star,1.2,29030,300000,Benzin,Automaticka,59,5
Honda,Hr V,1.5,102261,300000,Benzin,Manualni,96,10
Honda,Cr V,2.2,141259,300000,Nafta,Manualni,110,12
Citroen,Grand,1.2,63246,300000,Benzin,Automaticka,96,6
Mazda,Cx 3,2.0,89222,300000,Benzin,Manualni,89,7
Skoda,Octavia,1.6,121164,300000,Nafta,Manualni,85,6
Nissan,Qashqai,1.6,153436,300000,Nafta,Automaticka,96,9
Mazda,Mx,1.8,30635,300000,Benzin,Manualni,93,10
Mitsubishi,Asx,1.6,83040,300000,Benzin,Manualni,86,8
Skoda,Octavia,1.6,132445,300000,Nafta,Manualni,85,7
Nissan,Qashqai,1.6,153436,300000,Nafta,Automaticka,96,9
Audi,A3,1.6,132639,300000,Nafta,Manualni,81,8
Dacia,Duster,1.3,66950,300000,Benzin,Manualni,96,5
Ford,Kuga,1.5,81450,300000,Benzin,Manualni,110,10
Nissan,Qashqai,1.2,106976,300000,Benzin,Automaticka,85,9
MercedesBenz,CLA,2.2,242145,300000,Nafta,Automaticka,100,8
Mitsubishi,Asx,1.6,95660,300000,Benzin,Manualni,86,8
Skoda,Fabia,1.0,38392,300000,Benzin,Manualni,70,5
Ford,Kuga,1.5,81450,300000,Benzin,Manualni,110,10
Seat,Alhambra,2.0,165366,300000,Nafta,Manualni,103,12
Ford,Focus,1.5,182906,300000,Nafta,Manualni,88,7
Audi,A4,2.0,306920,300000,Nafta,Automaticka,110,8
Skoda,Fabia,1.0,49751,300000,Benzin,Manualni,70,4
Volkswagen,Multivan,2.5,195358,300000,Nafta,Automaticka,128,20
Volkswagen,Golf,1.4,135199,300000,Benzin,Manualni,92,8
Volkswagen,Sportsvan,1.4,138414,300000,Benzin,Manualni,92,9
Renault,Megane,1.5,82666,300000,Nafta,Manualni,85,6
Skoda,Scala,1.0,46343,300000,Benzin,Manualni,85,6
Nissan,Qashqai,1.6,167670,300000,Benzin,Automaticka,96,9
Dacia,Duster,1.0,102592,300000,Benzin,Manualni,67,4
Mazda,3,2.0,105281,300000,Benzin,Automaticka,88,8
Renault,Grand,1.6,138475,300000,Nafta,Manualni,96,8
Hyundai,I40,1.6,64681,300000,Nafta,Manualni,100,6
Hyundai,I30,1.4,106078,300000,Benzin,Manualni,103,7
BMW,Rada 3,2.0,169759,300000,Nafta,Automaticka,135,12
Volkswagen,Tiguan,2.0,174751,300000,Nafta,Manualni,110,11
Volkswagen,Sportsvan,1.4,111014,300000,Benzin,Manualni,110,11
Mazda,MX,1.8,30635,300000,Benzin,Manualni,93,10
Mazda,CX3,2.0,38293,300000,Benzin,Manualni,110,10
Jeep,Renegade,1.6,106603,300000,Nafta,Manualni,88,9
Dacia,Sandero,1.0,0,300000,Benzin,Manualni,74,0
Seat,Leon,1.4,126233,300000,Benzin,Manualni,92,8
Nissan,Qashqai,1.6,167670,300000,Benzin,Automaticka,96,9
Hyundai,I20,1.2,21659,300000,Benzin,Manualni,62,2
Hyundai,I30,1.5,61554,300000,Benzin,Manualni,80,4
Dacia,Sandero,1.0,36745,300000,Benzin,Manualni,67,3
Hyundai,Tucson,1.7,180439,300000,Nafta,Manualni,85,8
Peugeot,Rifter,1.5,172000,300000,Nafta,Manualni,96,5
Volkswagen,Sportsvan,2.0,146959,300000,Nafta,Automaticka,110,11
Seat,Leon,1.8,97569,300000,Benzin,Manualni,132,10
Seat,Leon,1.4,126233,300000,Benzin,Manualni,92,8
Seat,Leon,1.8,132400,300000,Benzin,Automaticka,132,11
Ford,Mondeo,2.0,148693,300000,Nafta,Manualni,110,6
Ford,Transit,1.5,179300,300000,Nafta,Manualni,88,7
Opel,Crossland,1.2,82409,300000,Benzin,Automaticka,81,8
Nissan,Qashqai,1.6,123566,300000,Benzin,Manualni,120,9
Opel,Astra,1.5,88144,300000,Nafta,Manualni,90,5
Volkswagen,Tiguan,1.4,137893,300000,Benzin,Automaticka,118,11
Peugeot,2008,1.2,31565,300000,Benzin,Manualni,96,6
Ford,Kuga,2.0,138841,300000,Nafta,Manualni,110,10
Ford,Focus,1.5,152591,300000,Nafta,Automaticka,88,5
Citroen,Berlingo,1.5,151849,300100,Nafta,Manualni,75,6
Peugeot,Boxer,2.0,152997,302500,Nafta,Manualni,96,7
Volkswagen,Transporter,2.0,187857,302500,Nafta,Manualni,75,6
Skoda,Fabia,1.0,25730,303000,Benzin,Manualni,70,5
Skoda,Fabia,1.0,65551,303000,Benzin,Manualni,70,4
Honda,Civic,1.0,75591,303000,Benzin,Manualni,95,7
Mitsubishi,Pajero Sport,2.5,153441,303000,Nafta,Manualni,131,12
Ford,Fiesta,1.5,58000,304900,Nafta,Manualni,63,6
Renault,Scenic,1.7,142463,304999,Nafta,Automaticka,88,6
Kia,Cee D,1.6,36276,305000,Benzin,Automaticka,99,8
Renault,Clio,1.0,37929,305000,Benzin,Manualni,74,5
Renault,Clio,1.0,37929,305000,Benzin,Manualni,74,5
Dacia,Sandero,1.0,45759,305000,Benzin,Manualni,67,4
Mazda,CX3,2.0,92665,305000,Benzin,Manualni,88,10
Hyundai,I40,1.7,86671,305000,Nafta,Manualni,104,8
Kia,Ceed,1.6,36276,305000,Benzin,Automaticka,99,8
Peugeot,Rifter,1.5,149809,305000,Nafta,Manualni,75,6
Kia,Sportage,2.0,126268,305000,Benzin,Manualni,122,10
Kia,Sportage,2.0,126268,305000,Benzin,Manualni,122,10
Mazda,6,2.0,131198,305000,Benzin,Manualni,121,12
Renault,Kadjar,1.5,145507,305000,Nafta,Automaticka,81,7
Dacia,Duster,1.0,111630,307000,Benzin,Manualni,74,5
Volkswagen,Touran,2.0,233546,308000,Nafta,Automaticka,110,9
Jeep,Grand Cherokee,3.0,189000,308000,Nafta,Automaticka,177,13
Opel,Vivaro,1.6,258129,308000,Nafta,Manualni,88,10
Ford,Focus,1.5,140632,308000,Nafta,Manualni,88,5
Opel,Grandland X,1.2,134876,308000,Benzin,Manualni,96,4
Volkswagen,Golf,2.0,165249,308000,Nafta,Automaticka,110,6
Dacia,Sandero,1.0,102695,308550,Benzin,Manualni,64,3
Citroen,Berlingo,1.2,105983,308600,Benzin,Manualni,81,7
Renault,Trafic,1.6,143450,308600,Nafta,Manualni,89,6
Nissan,X Trail,1.6,113451,309000,Nafta,Manualni,96,8
Citroen,C3,1.2,77816,309000,Benzin,Manualni,81,4
BMW,Rada 3,1.6,82466,309000,Benzin,Manualni,100,11
BMW,Rada 3,2.0,204251,309000,Nafta,Automaticka,120,6
Audi,A4,3.0,216803,309000,Nafta,Manualni,150,12
BMW,X3,2.0,156000,309000,Nafta,Automaticka,135,13
Opel,Crossland,1.2,81165,309000,Benzin,Manualni,81,4
Volkswagen,Tiguan,1.4,54395,309000,Benzin,Manualni,118,12
Hyundai,I30,1.6,160700,309000,Nafta,Automaticka,85,5
Hyundai,I30,1.6,48000,309000,Nafta,Manualni,85,4
Volvo,V40,2.0,85160,309000,Nafta,Automaticka,88,8
Mg,Zs,1.5,89207,309000,Benzin,Manualni,78,3
Hyundai,I30,1.4,78203,309000,Benzin,Manualni,103,8
Audi,A6,3.0,236323,309000,Nafta,Automaticka,150,13
Mazda,CX5,2.0,135352,309000,Benzin,Manualni,118,13
Mitsubishi,Outlander,2.0,152060,309000,Benzin,Manualni,110,9
Seat,Leon,1.5,107981,309800,Benzin,Manualni,96,6
Volvo,Xc90,2.4,217000,309900,Nafta,Automaticka,136,15
Kia,Cee D,1.0,103117,309900,Benzin,Manualni,74,3
Opel,Crossland,0.0,54295,309990,Benzin,Manualni,81,4
Opel,Astra,1.4,42233,309990,Benzin,Manualni,92,6
Dacia,Duster,1.5,112999,309999,Nafta,Manualni,84,4
MercedesBenz,Tridy E,2.1,260869,309999,Nafta,Automaticka,125,12
MercedesBenz,Glk,2.1,188000,309999,Nafta,Automaticka,105,13
Fiat,500X,2.0,107491,309999,Nafta,Manualni,103,9
Audi,A4,2.0,196451,310000,Nafta,Automaticka,130,11
Dacia,Duster,1.6,54931,310000,Benzin,Manualni,84,7
Skoda,Octavia,1.8,165567,310000,Benzin,Automaticka,132,10
Honda,Civic,1.0,99700,310000,Benzin,Manualni,95,7
Dacia,Duster,1.0,76200,310000,Benzin,Manualni,74,4
Jeep,Commander,5.7,194850,310000,Benzin,Automaticka,246,16
Honda,Civic,1.0,82349,310000,Benzin,Manualni,95,7
Hyundai,I30,1.4,90569,310000,Benzin,Manualni,103,6
Mazda,6,2.2,157499,310000,Nafta,Manualni,129,11
MercedesBenz,Trida,4.0,219907,310000,Nafta,Automaticka,225,15
MercedesBenz,Trida,1.8,95512,310000,Nafta,Automaticka,80,12
Hyundai,Ix35,2.0,129427,310000,Nafta,Automaticka,135,11
Volkswagen,Tiguan,1.4,56658,310000,Benzin,Manualni,90,11
Hyundai,I30,1.0,43275,310000,Benzin,Manualni,88,4
Volkswagen,Passat,1.6,162340,310000,Nafta,Manualni,88,8
Seat,Alhambra,2.0,214811,310000,Nafta,Manualni,135,10
Kia,Stonic,1.2,16222,310000,Benzin,Manualni,62,7
Mazda,Cx 3,2.0,143432,310000,Benzin,Automaticka,88,9
Hyundai,Ix35,2.0,129427,310000,Nafta,Automaticka,135,11
Honda,Cr V,1.6,156305,310000,Nafta,Manualni,88,8
Audi,A4,2.0,196451,310000,Nafta,Automaticka,130,11
Volvo,V60,2.4,345506,310000,Nafta,Automaticka,140,9
Mazda,Cx 5,2.0,160500,310000,Benzin,Manualni,118,13
Ford,Focus,1.5,76635,310000,Nafta,Manualni,88,4
Skoda,Fabia,1.0,46338,310000,Benzin,Manualni,70,6
Jeep,Grand Cherokee,3.0,167324,310000,Nafta,Automaticka,177,12
Skoda,Scala,1.0,106568,310000,Benzin,Manualni,70,5
Volkswagen,Golf Variant,2.0,230521,312000,Nafta,Automaticka,110,6
Fiat,Doblo,1.6,117955,312200,Nafta,Manualni,88,4
Mazda,Cx 5,2.2,333000,313000,Nafta,Automaticka,129,7
Kia,Cee D,1.0,72726,313000,Benzin,Manualni,74,4
Mazda,Cx 3,2.0,79000,313000,Benzin,Manualni,88,9
Volkswagen,Touran,1.6,172359,313000,Nafta,Automaticka,85,8
Mitsubishi,Space Star,1.2,20,313760,Benzin,Manualni,52,2
Fiat,Panda,1.0,15517,314000,Benzin,Manualni,51,1
Volkswagen,Golf Variant,2.0,198226,314000,Nafta,Automaticka,110,6
Peugeot,Boxer,2.0,187507,314600,Nafta,Manualni,96,7
Fiat,500X,1.0,40500,314900,Benzin,Manualni,88,6
Nissan,X Trail,1.6,190000,314990,Nafta,Manualni,96,9
Skoda,Superb,2.0,255423,315000,Nafta,Automaticka,140,9
Hyundai,Kona,1.0,67520,315000,Benzin,Manualni,88,7
Skoda,Octavia,1.6,127541,315000,Nafta,Manualni,85,6
Nissan,X Trail,1.6,172000,315000,Benzin,Manualni,120,8
Honda,Cr V,2.2,143800,315000,Nafta,Manualni,110,12
Mazda,6,2.0,116528,315000,Benzin,Manualni,121,12
Dacia,Duster,1.6,19948,315000,Benzin,Manualni,84,6
Dacia,Duster,1.2,68117,315000,Benzin,Manualni,92,7
Skoda,Octavia,1.6,69793,315000,Nafta,Manualni,85,7
Porsche,Boxster,2.5,124900,315000,Benzin,Manualni,150,26
Hyundai,I30,1.6,176390,315000,Nafta,Manualni,100,4
BMW,Rada 3,2.0,169984,315000,Nafta,Manualni,110,9
Hyundai,Santa,2.0,140093,315000,Nafta,Manualni,110,11
Toyota,Corolla,1.6,32154,315000,Benzin,Manualni,97,6
Jeep,Grand Cherokee,3.0,195000,315000,Nafta,Automaticka,177,14
Renault,Clio,1.0,12357,315000,Benzin,Manualni,67,3
Volkswagen,Passat,2.0,184239,315000,Nafta,Automaticka,176,10
BMW,Rada 3,2.0,207600,315000,Nafta,Automaticka,135,10
Dacia,Duster,1.0,93880,315000,Benzin,Manualni,74,5
Skoda,Fabia,1.0,22911,315000,Benzin,Manualni,59,4
Kia,Sportage,1.6,106565,315000,Benzin,Manualni,97,9
Renault,Grand,1.8,161884,315000,Nafta,Automaticka,88,5
Mazda,Cx 5,2.0,164451,315000,Benzin,Manualni,121,11
Audi,A6,3.0,225532,315000,Nafta,Automaticka,180,12
Jeep,Grand Cherokee,3.0,199000,315000,Nafta,Automaticka,177,14
Kia,Sportage,1.7,152830,315000,Nafta,Manualni,85,9
Audi,A4,2.0,192330,315000,Nafta,Automaticka,140,10
Mazda,2,1.5,57737,315000,Benzin,Manualni,66,6
Volkswagen,Passat,2.0,132784,315000,Nafta,Manualni,110,10
Mazda,Cx 5,2.0,119620,316000,Benzin,Manualni,121,12
Fiat,Panda,1.0,12355,316000,Benzin,Manualni,51,1
Mazda,3,2.0,46650,316900,Benzin,Manualni,88,11
Renault,Kadjar,1.6,122629,317000,Nafta,Manualni,96,8
Fiat,Panda,1.0,12080,317000,Benzin,Manualni,51,1
Nissan,Qashqai,1.2,95083,318000,Benzin,Automaticka,85,8
Dacia,Duster,1.6,44740,318000,Benzin,Manualni,84,6
Peugeot,208,1.2,11384,318999,Benzin,Manualni,55,2
Mg,Zs,1.5,93612,319000,Benzin,Manualni,78,2
Dacia,Duster,1.0,36286,319000,Benzin,Manualni,67,3
Honda,Cr V,1.6,129300,319000,Nafta,Manualni,88,7
Kia,Sportage,1.6,152626,319000,Benzin,Manualni,97,9
Volkswagen,Sharan,2.0,228006,319000,Nafta,Manualni,110,9
MercedesBenz,Tridy E,2.1,264467,319000,Nafta,Automaticka,150,9
Ford,Focus,2.0,131791,319000,Nafta,Automaticka,110,6
Peugeot,Rifter,1.5,128000,319000,Nafta,Manualni,75,5
Mazda,6,2.2,183568,319000,Nafta,Automaticka,110,6
Nissan,Navara,2.5,169000,319000,Nafta,Manualni,106,10
BMW,Rada 3,2.0,102190,319000,Nafta,Automaticka,135,10
Dacia,Duster,1.6,77000,319000,Benzin,Manualni,84,7
Mazda,Cx 5,2.2,171000,319000,Nafta,Automaticka,129,9
MercedesBenz,Tridy E,3.0,245600,319000,Nafta,Automaticka,185,11
Nissan,X Trail,1.6,146301,319000,Benzin,Manualni,120,9
Kia,Ceed,1.4,63942,319000,Benzin,Manualni,103,6
Mazda,Cx 5,2.0,135021,319000,Benzin,Automaticka,118,13
Seat,Leon,1.4,126345,319000,Benzin,Manualni,92,8
Volvo,V40,2.0,86278,319000,Nafta,Manualni,110,8
Honda,Hr V,1.5,64030,319000,Benzin,Manualni,96,9
Kia,Sportage,1.6,152626,319000,Benzin,Manualni,97,9
Jeep,Grand Cherokee,3.6,227000,319000,Benzin,Automaticka,210,14
Renault,Scenic,1.3,127641,319000,Benzin,Automaticka,103,7
Seat,Leon,2.0,184000,319000,Nafta,Manualni,85,4
Ford,Mondeo,2.0,156686,319000,Nafta,Automaticka,110,6
Jeep,Compass,2.0,209000,319000,Nafta,Manualni,103,7
Seat,Arona,1.0,81343,319000,Benzin,Manualni,70,6
Fiat,Freemont,2.0,101900,319000,Nafta,Automaticka,125,10
BMW,Rada 3,2.0,245000,319800,Nafta,Manualni,110,8
Toyota,Auris,1.6,96123,319900,Benzin,Manualni,97,6
Ford,Focus,1.5,170500,319900,Nafta,Manualni,88,6
Toyota,Rav4,2.2,182550,319900,Nafta,Automaticka,110,12
Mitsubishi,Space Star,1.2,3100,319900,Benzin,Manualni,52,1
Mini,Countryman,1.6,100781,319900,Benzin,Manualni,135,12
Mini,Clubman,1.5,74000,319900,Benzin,Manualni,100,9
Toyota,Aygo,1.0,2,319900,Benzin,Manualni,53,0
Toyota,Yaris,1.5,48951,319900,Benzin,Automaticka,92,6
Mitsubishi,Asx,1.6,69659,319900,Benzin,Manualni,86,7
BMW,Rada 5,2.0,183000,319900,Nafta,Automaticka,135,12
Ford,Mondeo,1.5,98225,319900,Benzin,Manualni,118,7
Toyota,Yaris,1.5,89890,319900,Benzin,Automaticka,82,6
Kia,Sportage,1.7,117676,319990,Nafta,Manualni,85,9
Hyundai,I30,1.5,93268,319990,Benzin,Manualni,81,4
Honda,Cr V,1.6,154139,319999,Nafta,Manualni,88,10
Mini,Countryman,1.6,129783,319999,Benzin,Automaticka,140,9
Hyundai,Tucson,1.7,160580,320000,Nafta,Manualni,85,9
Hyundai,I30,1.4,110504,320000,Benzin,Automaticka,103,7
Audi,A4,2.0,220641,320000,Nafta,Automaticka,110,9
Audi,A4,2.0,197450,320000,Nafta,Manualni,140,9
Subaru,Brz,2.0,200264,320000,Benzin,Manualni,147,10
Opel,Zafira,1.4,74577,320000,Benzin,Manualni,103,8
Dacia,Duster,1.6,85485,320000,Benzin,Manualni,84,7
Audi,A4,2.0,197450,320000,Nafta,Manualni,140,9
Honda,Hr V,1.5,97204,320000,Benzin,Manualni,96,7
Dacia,Duster,1.0,33729,320000,Benzin,Manualni,74,5
Seat,Arona,1.0,37726,320000,Benzin,Manualni,70,5
Hyundai,I30,1.5,125937,320000,Benzin,Manualni,81,4
Audi,A4,2.0,220641,320000,Nafta,Automaticka,110,9
Hyundai,Tucson,1.7,136338,320000,Nafta,Manualni,85,8
Nissan,Pathfinder,3.0,265000,320000,Nafta,Automaticka,160,14
Mazda,Cx 3,2.0,85000,320000,Benzin,Manualni,88,9
Dacia,Duster,1.0,33729,320000,Benzin,Manualni,74,5
Mazda,2,1.5,56649,320000,Benzin,Manualni,66,6
Jeep,Grand Cherokee,3.0,120193,320000,Nafta,Automaticka,140,12
Nissan,XTrail,2.0,178264,320000,Nafta,Automaticka,130,8
Skoda,Superb,2.0,215682,320000,Nafta,Manualni,140,8
BMW,Rada 5,4.4,220000,320000,Benzin,Automaticka,300,15
Toyota,Rav4,2.5,365000,320000,Benzin,Automaticka,145,8
Hyundai,Tucson,2.0,194730,320000,Nafta,Automaticka,136,10
Hyundai,I30,1.5,57594,320000,Benzin,Manualni,80,3
Mitsubishi,Space Star,1.2,18503,320000,Benzin,Automaticka,52,2
Mini,Countryman,2.0,116322,320000,Nafta,Automaticka,105,10
Ford,Ecosport,1.0,41877,320000,Benzin,Manualni,92,6
Hyundai,Tucson,1.6,185423,320000,Nafta,Manualni,85,8
Nissan,XTrail,2.0,176520,320000,Nafta,Manualni,130,8
Opel,Corsa,1.2,38374,320650,Benzin,Manualni,74,5
Citroen,Jumpy,2.0,147054,320700,Nafta,Manualni,110,7
Kia,Sportage,2.0,113504,323000,Nafta,Automaticka,100,10
Kia,Sportage,2.0,113504,323000,Nafta,Automaticka,100,10
Citroen,C3,1.2,5695,324000,Benzin,Manualni,61,3
Hyundai,I30,1.0,68016,324000,Benzin,Manualni,88,4
Toyota,Corolla,1.5,9982,324000,Benzin,Manualni,92,4
Mitsubishi,Outlander,2.3,206955,324000,Nafta,Manualni,110,9
Mazda,CX3,2.0,157648,324000,Benzin,Automaticka,110,9
Jeep,Renegade,2.0,168700,324877,Nafta,Automaticka,103,8
Jeep,Compass,2.0,200000,324999,Nafta,Manualni,103,7
Opel,Astra,1.4,59613,324999,Benzin,Manualni,92,6
Skoda,Octavia,2.0,147102,325000,Benzin,Manualni,162,12
Skoda,Octavia,1.6,107594,325000,Nafta,Manualni,85,7
Hyundai,I20,1.0,20120,325000,Benzin,Manualni,74,2
Renault,Espace,1.6,154111,325000,Nafta,Manualni,96,10
Fiat,500X,1.6,46950,325000,Benzin,Manualni,81,6
Toyota,Avensis,1.8,134200,325000,Benzin,Manualni,108,9
Mazda,CX3,2.0,152232,325000,Benzin,Automaticka,110,9
Renault,Kadjar,1.6,93698,325000,Nafta,Manualni,96,7
Citroen,Berlingo,1.5,92520,325000,Nafta,Manualni,75,5
Volkswagen,Tiguan,1.4,22073,325000,Benzin,Manualni,90,11
Fiat,Scudo,2.0,182742,325000,Nafta,Manualni,120,10
Nissan,Qashqai,1.6,138849,325000,Nafta,Manualni,96,10
Ford,Tourneo Courier,1.5,27923,325000,Nafta,Manualni,73,4
BMW,Rada 3,2.0,172273,325000,Nafta,Automaticka,105,11
Seat,Arona,1.0,86792,325000,Benzin,Manualni,70,6
BMW,X3,3.0,195300,325000,Nafta,Automaticka,190,13
Kia,Sportage,1.6,113359,325000,Benzin,Manualni,97,9
Hyundai,I30,1.5,64197,326000,Benzin,Manualni,81,5
Mini,Cooper,1.5,115023,326600,Benzin,Manualni,100,10
Mitsubishi,Space Star,1.2,20,327760,Benzin,Manualni,52,2
Seat,Ateca,1.6,162278,328000,Nafta,Manualni,85,7
Subaru,Forester,2.0,142544,328000,Benzin,Manualni,110,11
Skoda,Octavia,1.6,154716,328000,Nafta,Automaticka,85,5
Volkswagen,Tiguan,2.0,132908,328000,Nafta,Manualni,130,11
Volkswagen,Golf,1.5,163291,328000,Benzin,Automaticka,110,6
Skoda,Octavia,2.0,179380,328000,Nafta,Manualni,110,7
Honda,Civic,2.0,100000,328000,Benzin,Manualni,148,18
Ford,Mondeo,2.0,169935,328000,Nafta,Automaticka,110,6
Volkswagen,Golf,1.6,132689,328000,Nafta,Manualni,85,5
Nissan,Qashqai,1.5,163653,328999,Nafta,Manualni,85,6
Mini,Cooper,2.0,104500,329000,Nafta,Automaticka,105,9
Volvo,V40,2.0,127937,329000,Nafta,Manualni,110,9
Mitsubishi,Outlander,2.3,83500,329000,Nafta,Manualni,110,9
Mazda,Cx 3,2.0,60250,329000,Benzin,Manualni,88,9
Dacia,Sandero,1.0,19000,329000,Benzin,Manualni,67,4
Audi,A6,2.8,195292,329000,Benzin,Automaticka,150,12
Dacia,Sandero,1.0,29370,329000,Benzin,Manualni,67,4
Honda,Hr V,1.6,91353,329000,Nafta,Manualni,88,9
Mitsubishi,Asx,1.6,98000,329000,Benzin,Manualni,86,8
Seat,Alhambra,2.0,158021,329000,Nafta,Manualni,103,11
Hyundai,I30,1.4,100393,329000,Benzin,Automaticka,103,8
Mazda,3,2.0,114400,329000,Benzin,Manualni,88,8
Subaru,Levorg,1.6,167000,329000,Benzin,Automaticka,125,10
Jeep,Grand Cherokee,3.0,180000,329000,Nafta,Automaticka,177,13
Nissan,350 Z,3.5,72150,329000,Benzin,Manualni,221,19
Jeep,Grand Cherokee,3.0,186000,329000,Nafta,Automaticka,177,14
Seat,Leon,1.4,75222,329000,Benzin,Manualni,110,9
Peugeot,308,1.5,173883,329000,Nafta,Automaticka,96,4
Fiat,Panda,1.0,5,329000,Benzin,Manualni,51,1
Volkswagen,Tiguan,2.0,150417,329000,Nafta,Manualni,110,10
Mazda,2,1.5,31000,329000,Benzin,Manualni,55,6
Volvo,Xc90,2.4,210687,329000,Nafta,Automaticka,147,14
Hyundai,I20,1.0,50122,329000,Benzin,Manualni,73,4
Subaru,Forester,2.0,136147,329800,Benzin,Manualni,110,12
Peugeot,5008,1.6,284000,329877,Benzin,Automaticka,133,6
Peugeot,308,1.5,126800,329877,Nafta,Automaticka,96,5
Volvo,Xc70,2.4,175600,329900,Nafta,Automaticka,155,14
Opel,Vivaro,1.6,185000,329900,Nafta,Manualni,92,8
Jeep,Renegade,2.0,158944,329900,Nafta,Automaticka,103,9
Jeep,Compass,2.0,194311,329900,Nafta,Automaticka,103,6
MercedesBenz,Viano,2.1,324937,329900,Nafta,Automaticka,120,14
Dacia,Sandero,1.0,24181,329900,Benzin,Manualni,74,3
Toyota,Aygo,1.0,2,329900,Benzin,Manualni,53,0
Fiat,Panda,1.0,13002,329900,Hybridni,Manualni,51,1
Seat,Alhambra,2.0,226500,329900,Nafta,Automaticka,103,10
Subaru,Forester,2.0,146831,329900,Nafta,Automaticka,108,8
Citroen,C3 Aircross,1.2,48798,329900,Benzin,Manualni,81,4
Mini,Paceman,2.0,171171,329900,Nafta,Automaticka,105,10
Mitsubishi,Asx,1.6,99885,329900,Benzin,Manualni,86,8
Hyundai,Tucson,1.6,97000,329900,Nafta,Manualni,85,10
Peugeot,Rifter,1.5,158100,329999,Nafta,Manualni,75,5
Honda,Hr V,1.5,82649,329999,Benzin,Automaticka,96,9
Audi,A4,2.0,202615,329999,Nafta,Automaticka,130,10
Mazda,6,2.2,196000,329999,Nafta,Automaticka,129,7
Opel,Vivaro,1.6,193585,329999,Nafta,Manualni,85,10
Dacia,Sandero,1.0,23044,329999,Benzin,Manualni,67,3
MercedesBenz,Tridy E,3.0,200948,329999,Nafta,Automaticka,170,15
MercedesBenz,Trida,1.6,112501,330000,Benzin,Manualni,90,9
Toyota,Corolla,1.6,97096,330000,Benzin,Manualni,97,7
Mazda,CX3,2.0,105365,330000,Benzin,Manualni,88,8
Mazda,Cx 3,2.0,80171,330000,Benzin,Manualni,88,8
Subaru,XV,2.0,169124,330000,Benzin,Automaticka,110,8
Seat,Leon,1.5,92883,330000,Benzin,Manualni,96,6
Kia,Niro,1.6,86098,330000,Hybridni,Automaticka,104,8
Seat,Ibiza,1.0,60079,330000,Benzin,Manualni,66,4
Citroen,C3,1.2,84038,330000,Benzin,Manualni,96,6
Nissan,Qashqai,1.6,92185,330000,Benzin,Manualni,120,9
Audi,A3,2.0,132732,330000,Nafta,Manualni,110,9
Seat,Leon,1.4,103319,330000,Benzin,Manualni,110,9
Jeep,Compass,1.6,115049,330000,Nafta,Manualni,88,7
Dacia,Duster,1.0,54310,330000,Benzin,Manualni,74,5
Dacia,Duster,1.3,79205,330000,Benzin,Manualni,96,6
Kia,Stonic,1.4,62489,330000,Benzin,Manualni,73,5
Subaru,Xv,2.0,169124,330000,Benzin,Automaticka,110,8
Honda,Prelude,2.2,183986,330000,Benzin,Manualni,136,26
BMW,Rada 5,3.0,240000,330000,Nafta,Automaticka,190,9
Dacia,Duster,1.0,41690,330000,Benzin,Manualni,67,4
Subaru,Xv,2.0,102000,330000,Benzin,Automaticka,110,11
Mazda,CX3,2.0,80171,330000,Benzin,Manualni,88,8
Audi,Q7,4.2,122464,330000,Benzin,Automaticka,257,18
Hyundai,Santa,2.2,174859,330000,Nafta,Manualni,145,11
Toyota,Rav4,2.2,113975,330000,Nafta,Manualni,110,12
Mitsubishi,Space Star,1.2,25897,330000,Benzin,Automaticka,52,3
Seat,Leon,1.5,92883,330000,Benzin,Manualni,96,6
Hyundai,Tucson,1.7,181352,330000,Nafta,Manualni,85,10
Hyundai,I30,1.5,79851,330000,Benzin,Manualni,81,5
Hyundai,I30,1.5,79851,330000,Benzin,Manualni,81,5
Audi,A3,2.0,149313,330000,Nafta,Automaticka,135,11
