Značka,Model,Rok,Najeté km,Cena,Palivo,Převodovka,Výkon (kW),Zdroj
Citroen,C4 Picasso,2014,167237,148999,Nafta,Manuální,85,Sauto
Volvo,S60,2008,146000,148999,Nafta,Manuální,93,Sauto
Kia,Cee D,2012,132984,149000,Nafta,Manuální,94,Sauto
Seat,Ibiza,2013,124385,149000,Benzín,Manuální,63,Sauto
Land Rover,Discovery,2012,303858,149000,Nafta,Automatická,188,Sauto
Peugeot,5008,2010,126421,149000,Benzín,Manuální,115,Sauto
Citroen,C5,2011,125000,149000,Nafta,Manuální,82,Sauto
Citroën,C4,2013,69314,149000,benzín,manual,88,Autoesa
Ford,Focus,2011,121370,149000,Benzín,Manuální,110,Sauto
Seat,Ibiza,2015,115965,149000,Benzín,Manuální,51,Sauto
Dodge,Grand Caravan,2007,183000,149000,Benzín,Automatická,128,Sauto
Opel,Meriva,2015,114000,149000,Benzín,Manuální,74,Sauto
Škoda,Roomster,2013,157242,149000,benzín,manual,77,Autoesa
Citroen,C4 Picasso,2013,190367,149000,Nafta,Automatická,85,Sauto
Peugeot,208,2016,113408,149000,benzín,manual,60,Autoesa
Jeep,Commander,2008,177000,149000,LPG + benzín,Automatická,157,Sauto
Volvo,S80,2007,228437,149000,Benzín,Automatická,175,Sauto
Jeep,Grand Cherokee,2005,269000,149000,Nafta,Automatická,160,Sauto
Ford,Focus,2011,150168,149000,nafta,manual,120,Autoesa
Land Rover,Discovery,1996,313000,149000,Nafta,Manuální,83,Sauto
Ford,Mondeo,2011,159483,149000,Nafta,Manuální,103,Sauto
Nissan,Qashqai,2012,201988,149000,Benzín,Manuální,110,Sauto
Kia,Cee D,2013,164500,149000,Benzín,Manuální,73,Sauto
Volvo,Xc90,2006,413076,149000,Nafta,Automatická,136,Sauto
Citroen,Berlingo,2008,157000,149000,Benzín,Manuální,55,Sauto
Seat,Ibiza,2013,124385,149000,benzín,manual,63,Autoesa
Volvo,S80,2008,254321,149000,Nafta,Automatická,136,Sauto
Seat,Mii,2016,124360,149000,Benzín,Manuální,44,Sauto
Nissan,Qashqai,2012,220898,149000,Nafta,Manuální,96,Sauto
Bmw,Rada 3,2009,235300,149000,Nafta,Manuální,105,Sauto
Nissan,Qashqai,2012,201988,149000,benzín,manual,110,Autoesa
Mazda,6,2008,99486,149000,Benzín,Manuální,108,Sauto
Mazda,5,2010,161877,149000,Benzín,Manuální,107,Sauto
Ford,Mondeo,2009,164652,149000,nafta,manual,129,Autoesa
Mazda,6,2013,190500,149000,Nafta,Manuální,110,Sauto
Ford,Focus,2011,121370,149000,benzín,manual,110,Autoesa
Land Rover,Freelander,2009,272000,149000,Nafta,Manuální,112,Sauto
Renault,Twingo,2014,144000,149000,Benzín,Manuální,75,Sauto
Citroen,Berlingo,2016,232825,149000,Nafta,Manuální,88,Sauto
Citroen,C3,2017,122766,149800,Benzín,Manuální,60,Sauto
Skoda,Octavia,2013,205035,149800,Nafta,Manuální,81,Sauto
Kia,Picanto,2018,96397,149800,Benzín,Manuální,49,Sauto
Nissan,X Trail,2013,359920,149900,Nafta,Manuální,110,Sauto
Seat,Alhambra,2014,409200,149900,Nafta,Manuální,85,Sauto
Seat,Leon,2012,194509,149900,Nafta,Manuální,130,Sauto
Nissan,Qashqai,2008,130300,149900,Benzín,Manuální,104,Sauto
Seat,Toledo,2016,248187,149900,Benzín,Manuální,81,Sauto
Opel,Meriva,2011,118337,149900,Benzín,Manuální,88,Sauto
Nissan,Qashqai,2010,193000,149900,Nafta,Manuální,110,Sauto
Nissan,Micra,2017,107564,149900,Benzín,Manuální,59,Sauto
Audi,A3,2009,118637,149900,Benzín,Manuální,92,Sauto
Citroen,C3,2014,177853,149900,Benzín,Automatická,60,Sauto
Nissan,Qashqai,2012,194000,149900,Nafta,Manuální,96,Sauto
Seat,Altea,2013,128500,149900,Benzín,Manuální,92,Sauto
Nissan,X Trail,2006,130851,149900,Nafta,Manuální,100,Sauto
Mazda,3,2007,177000,149900,Benzín,Manuální,191,Sauto
Citroen,C3,2015,64918,149900,Benzín,Manuální,50,Sauto
Ford,Galaxy,2009,241911,149900,Benzín,Automatická,118,Sauto
Land Rover,Freelander,2007,255780,149900,Nafta,Manuální,118,Sauto
Renault,Clio,2015,132500,149900,Benzín,Manuální,54,Sauto
Renault,Megane,2014,146920,149900,Nafta,Manuální,81,Sauto
Audi,A3,2010,129900,149900,Benzín,Manuální,92,Sauto
Citroen,C3,2016,104047,149900,Benzín,Manuální,60,Sauto
Nissan,Pathfinder,2008,293000,149900,Nafta,Automatická,126,Sauto
Kia,Cee D,2014,212000,149980,LPG + benzín,Manuální,74,Sauto
Seat,Alhambra,2011,315000,149990,Nafta,Manuální,103,Sauto
Ford,Focus,2012,153923,149990,Nafta,Manuální,80,Sauto
Land Rover,Freelander,2008,172000,149990,Nafta,Manuální,112,Sauto
Hyundai,I30,2014,131522,149990,Benzín,Manuální,88,Sauto
Land Rover,Range Rover,1991,341507,149990,Benzín,Automatická,134,Sauto
Renault,Laguna,2008,146965,149990,Nafta,Manuální,110,Sauto
Volvo,V40,2016,285000,149990,Nafta,Manuální,88,Sauto
Citroen,C8,2008,135815,149990,Benzín,Manuální,100,Sauto
Nissan,Qashqai,2011,192700,149990,Nafta,Manuální,81,Sauto
Ford,Mondeo,2012,211900,149990,Nafta,Manuální,103,Sauto
Mazda,Cx 7,2013,210269,149990,Nafta,Manuální,127,Sauto
Renault,Scenic,2012,121000,149990,Nafta,Manuální,81,Sauto
Bmw,Rada 3,2006,195949,149999,Benzín,Manuální,160,Sauto
Mercedes Benz,Clk,2006,264000,149999,Benzín,Automatická,170,Sauto
Seat,Alhambra,2008,209809,149999,Benzín,Manuální,110,Sauto
Opel,Astra,2016,230229,149999,Nafta,Manuální,118,Sauto
Ford,C Max,2013,132856,149999,CNG + benzín,Manuální,88,Sauto
Dodge,Nitro,2007,299247,149999,Nafta,Manuální,130,Sauto
Nissan,Nv200,2010,181000,149999,Benzín,Manuální,81,Sauto
Nissan,Evalia,2010,181000,149999,Benzín,Manuální,81,Sauto
Volkswagen,Transporter,2006,225169,150000,nafta,manual,77,Autoesa
Volkswagen,Golf,2012,193379,150000,Nafta,Manuální,103,Sauto
Ford,Mondeo,2010,167310,150000,Nafta,Manuální,103,Sauto
Volkswagen,Golf,2010,154559,150000,benzín,manual,77,Autoesa
Hyundai,I30,2012,156262,150000,nafta,manual,81,Autoesa
Bmw,Rada 5,2007,296125,150000,Nafta,Automatická,173,Sauto
Škoda,Fabia,2014,104547,150000,benzín,manual,63,Autoesa
Seat,Toledo,2013,158199,150000,Nafta,Manuální,77,Sauto
Hyundai,I30,2018,253876,150000,nafta,manual,81,Autoesa
Hyundai,Ix35,2010,196622,150000,benzín,manual,120,Autoesa
Hyundai,I30,2013,156592,150000,benzín,manual,88,Autoesa
Opel,Insignia,2015,151470,150000,Nafta,Manuální,103,Sauto
Peugeot,308,2016,124571,150000,nafta,manual,88,Autoesa
Peugeot,5008,2011,166190,150000,nafta,manual,110,Autoesa
Peugeot,5008,2015,137000,150000,nafta,manual,88,Autoesa
Peugeot,208,2016,146325,150000,nafta,manual,73,Autoesa
Škoda,Octavia,2013,289992,150000,nafta,manual,77,Autoesa
Škoda,Octavia,2012,200361,150000,nafta,automat,77,Autoesa
Seat,Altea,2013,123005,150000,nafta,automat,77,Autoesa
Seat,Toledo,2014,158152,150000,Benzín,Manuální,63,Sauto
Jeep,Cherokee,2009,217198,150000,Nafta,Automatická,130,Sauto
Volkswagen,Touran,2009,173645,150000,nafta,manual,125,Autoesa
Citroen,C8,2014,216117,150000,Nafta,Manuální,120,Sauto
Mazda,5,2012,202370,150000,Benzín,Manuální,110,Sauto
Škoda,Fabia,2018,209342,150000,LPG + benzín,manual,55,Autoesa
Citroen,C4 Picasso,2015,211885,150000,Nafta,Manuální,85,Sauto
Renault,Scénic,2013,175248,150000,nafta,manual,96,Autoesa
Peugeot,4007,2008,141898,150000,nafta,manual,115,Autoesa
Škoda,Yeti,2012,226131,150000,nafta,manual,81,Autoesa
Hyundai,I30,2014,195140,150000,benzín,manual,99,Autoesa
Peugeot,3008,2012,90987,150000,benzín,manual,88,Autoesa
Opel,Insignia,2014,182000,150000,Nafta,Manuální,143,Sauto
Mazda,6,2014,252300,150000,Nafta,Manuální,110,Sauto
Škoda,Rapid,2015,204897,150000,nafta,manual,66,Autoesa
Volkswagen,Golf,2012,193379,150000,nafta,manual,103,Autoesa
Škoda,Octavia,2015,222586,150000,nafta,manual,66,Autoesa
Nissan,Qashqai,2009,101207,150000,benzín,manual,104,Autoesa
Nissan,Qashqai,2011,173478,150000,Benzín,Manuální,86,Sauto
Seat,Toledo,2014,158152,150000,benzín,manual,63,Autoesa
Opel,Zafira,2013,183970,150000,benzín,manual,103,Autoesa
Mazda,3,2010,28244,150000,Benzín,Manuální,77,Sauto
Škoda,Octavia,2011,131056,150000,nafta,manual,77,Autoesa
Audi,A6,2012,279357,150000,nafta,automat,150,Autoesa
Nissan,Juke,2014,108035,150000,Benzín,Manuální,85,Sauto
Ford,Mondeo,2010,167310,150000,nafta,manual,103,Autoesa
Skoda,Rapid,2016,268329,150000,Nafta,Manuální,85,Sauto
Ford,S Max,2009,168354,150000,Nafta,Manuální,129,Sauto
Mazda,6,2009,148515,150000,Benzín,Manuální,108,Sauto
Škoda,Rapid,2016,268329,150000,nafta,manual,85,Autoesa
Nissan,Qashqai,2011,173478,150000,benzín,manual,86,Autoesa
Ford,Mondeo,2010,169517,150000,Nafta,Manuální,103,Sauto
Citroen,C4,2011,44289,150000,Benzín,Manuální,88,Sauto
Hyundai,Ix35,2010,196622,150000,Benzín,Manuální,120,Sauto
Volkswagen,Golf,2010,137385,150000,benzín,manual,90,Autoesa
Ford,Focus,2013,179077,150000,nafta,manual,100,Autoesa
Ford,Galaxy,2009,179392,150000,nafta,manual,103,Autoesa
Jeep,Grand Cherokee,2007,173241,150000,Nafta,Automatická,155,Sauto
Ford,Mondeo,2009,166213,150000,nafta,manual,129,Autoesa
Ford,Mondeo,2010,169517,150000,nafta,manual,129,Autoesa
Ford,S-MAX,2009,168354,150000,nafta,manual,129,Autoesa
Land Rover,Range Rover Sport,2008,304470,150000,Nafta,Automatická,140,Sauto
Ford,Mondeo,2012,159442,150000,nafta,manual,103,Autoesa
Hyundai,Ix35,2012,168611,150000,nafta,manual,135,Autoesa
Renault,Scénic,2011,124371,150000,benzín,automat,103,Autoesa
Citroën,C3,2010,76322,150000,benzín,manual,88,Autoesa
Mercedes-Benz,GLK,2009,229589,150000,nafta,automat,125,Autoesa
Mercedes-Benz,Třída,2014,258777,150000,nafta,manual,80,Autoesa
Renault,Mégane,2014,100155,150000,benzín,manual,85,Autoesa
Renault,Trafic,2006,205641,150000,nafta,manual,84,Autoesa
Renault,Scénic,2014,175028,150000,nafta,automat,81,Autoesa
Citroën,C3,2012,104758,150000,benzín,manual,70,Autoesa
Mercedes-Benz,CLK,2008,175817,150000,benzín,automat,135,Autoesa
Ford,Grand,2014,158657,150000,nafta,manual,85,Autoesa
Jeep,Grand Cherokee,2006,192092,150000,Nafta,Automatická,160,Sauto
Audi,A6 Avant,2008,308000,150000,Nafta,Automatická,171,Sauto
Kia,Carens,2014,143924,150000,benzín,manual,99,Autoesa
Mercedes-Benz,Třída,2010,276339,150000,nafta,manual,100,Autoesa
Kia,Carens,2014,143924,150000,Benzín,Manuální,99,Sauto
Ford,Mondeo,2010,169517,150000,Nafta,Manuální,129,Sauto
Peugeot,2008,2014,95837,150000,benzín,manual,88,Autoesa
BMW,Řada,2008,262242,150000,benzín,automat,200,Autoesa
Hyundai,I30,2013,156592,150000,Benzín,Manuální,88,Sauto
Volvo,V60,2014,286867,150000,Nafta,Manuální,133,Sauto
Peugeot,5008,2015,183000,150000,Nafta,Manuální,110,Sauto
Opel,Meriva,2011,122076,150000,nafta,manual,96,Autoesa
Volvo,C30,2007,98115,150000,Benzín,Manuální,74,Sauto
Citroën,C3,2014,84737,150000,benzín,manual,88,Autoesa
Renault,Koleos,2012,177790,150000,nafta,manual,110,Autoesa
Ford,Mondeo,2011,181197,150000,nafta,manual,103,Autoesa
Mazda,3,2013,140467,150000,Benzín,Manuální,77,Sauto
Ford,S-MAX,2010,227570,150000,nafta,automat,103,Autoesa
Ford,Mondeo,2010,169517,150000,nafta,manual,103,Autoesa
Peugeot,108,2015,64000,150000,Benzín,Manuální,51,Sauto
Volkswagen,Golf,2014,215457,150000,Benzín,Manuální,77,Sauto
Opel,Insignia,2013,190000,150999,Nafta,Manuální,103,Sauto
Opel,Combo,2016,94819,151300,nafta,manual,77,Autoesa
Škoda,Superb,2008,202958,152000,nafta,manual,103,Autoesa
Škoda,Octavia,2012,192464,153000,benzín,automat,90,Autoesa
Ford,Focus,2015,83592,153000,benzín,manual,74,Autoesa
Škoda,Rapid,2015,174002,153000,nafta,manual,77,Autoesa
Jeep,Compass,2012,232000,153000,Nafta,Manuální,120,Sauto
Renault,Scénic,2013,122711,153000,nafta,manual,81,Autoesa
Ford,Focus,2013,167844,154000,benzín,manual,110,Autoesa
Citroen,C1,2015,121100,154000,Benzín,Automatická,51,Sauto
Opel,Astra,2017,167911,154000,Benzín,Manuální,74,Sauto
Nissan,Qashqai,2007,80000,154800,Benzín,Manuální,104,Sauto
Mazda,Mx 5,2007,150000,154800,Benzín,Manuální,93,Sauto
Hyundai,I10,2018,46593,154990,Benzín,Manuální,48,Sauto
Mercedes Benz,Tridy S,2007,256000,155000,Nafta,Automatická,173,Sauto
Seat,Toledo,2014,137898,155000,benzín,manual,63,Autoesa
Hyundai,I30,2012,169607,155000,benzín,manual,99,Autoesa
Opel,Mokka,2013,154445,155000,nafta,manual,96,Autoesa
Opel,Zafira,2012,80156,155000,benzín,manual,103,Autoesa
Volkswagen,Scirocco,2009,248248,155000,benzín,manual,147,Autoesa
Opel,Astra,2018,258000,155000,Nafta,Manuální,81,Sauto
Opel,Astra,2019,191500,155000,Nafta,Manuální,81,Sauto
Renault,Clio,2013,93784,155000,benzín,manual,54,Autoesa
Volkswagen,Golf,2008,72223,155000,nafta,manual,103,Autoesa
Renault,Laguna,2012,127711,155000,benzín,manual,103,Autoesa
Citroën,Berlingo,2017,204680,155000,nafta,manual,88,Autoesa
Škoda,Octavia,2009,153017,155000,benzín,automat,90,Autoesa
Peugeot,3008,2013,172243,155000,nafta,manual,84,Autoesa
Škoda,Octavia,2011,151229,155000,benzín,manual,90,Autoesa
Hyundai,I10,2017,63911,155000,benzín,manual,49,Autoesa
Škoda,Citigo,2013,82976,155000,benzín,manual,50,Autoesa
Škoda,Citigo,2014,90246,155000,benzín,manual,44,Autoesa
Hyundai,I10,2016,67478,155000,benzín,manual,49,Autoesa
Audi,A3,2009,115079,155000,benzín,manual,92,Autoesa
Opel,Astra,2014,152733,155000,nafta,manual,81,Autoesa
Opel,Zafira,2012,137373,155000,benzín,manual,88,Autoesa
Nissan,Juke,2010,70449,155000,Benzín,Manuální,140,Sauto
Nissan,Nv200,2013,166570,155000,Nafta,Manuální,81,Sauto
Land Rover,Discovery,2007,245000,155000,Nafta,Automatická,140,Sauto
Peugeot,Expert,2011,287000,155000,Nafta,Manuální,120,Sauto
Hyundai,Ix20,2016,114023,155000,benzín,automat,91,Autoesa
Nissan,Micra,2016,139995,155000,Benzín,Manuální,59,Sauto
Nissan,X Trail,2012,275001,155000,Nafta,Automatická,110,Sauto
Renault,Clio,2013,93784,155000,Benzín,Manuální,54,Sauto
Citroën,C4,2013,168799,155000,nafta,automat,85,Autoesa
Seat,Ibiza,2013,149631,155000,Benzín,Manuální,77,Sauto
Volkswagen,Golf,2011,125946,155000,benzín,manual,118,Autoesa
Volkswagen,Touran,2011,200450,155000,benzín,manual,103,Autoesa
Škoda,Octavia,2010,110030,155000,benzín,manual,90,Autoesa
Audi,A3,2010,160000,155000,Benzín,Manuální,92,Sauto
Seat,Ibiza,2012,99642,155000,Benzín,Manuální,63,Sauto
Nissan,Juke,2010,70449,155000,benzín,manual,140,Autoesa
Ford,Tourneo Connect,2016,268000,155000,Nafta,Manuální,74,Sauto
Audi,A6,2010,290500,155000,Nafta,Automatická,176,Sauto
Peugeot,5008,2012,191119,156000,Nafta,Manuální,110,Sauto
Mazda,6,2017,272000,156100,Nafta,Manuální,110,Sauto
Jeep,Grand Cherokee,2007,238102,157000,Benzín,Automatická,170,Sauto
Renault,Fluence,2015,46311,157000,benzín,manual,82,Autoesa
Škoda,Fabia,2014,165152,157000,benzín,manual,63,Autoesa
Ford,Focus,2012,44853,157000,benzín,manual,74,Autoesa
Citroën,DS4,2012,106654,157000,benzín,manual,88,Autoesa
Volvo,V70,2012,220000,157000,Nafta,Automatická,120,Sauto
Škoda,Superb,2009,228294,157000,benzín,automat,191,Autoesa
Seat,Ibiza,2015,165390,157900,Benzín,Manuální,55,Sauto
Ford,Kuga,2010,159510,158000,Nafta,Manuální,103,Sauto
Renault,Scénic,2013,177104,158000,nafta,manual,96,Autoesa
Peugeot,2008,2013,65137,158000,benzín,manual,60,Autoesa
Opel,Antara,2012,162000,158800,Nafta,Manuální,135,Sauto
Audi,A6 Allroad,2007,256900,158999,Nafta,Manuální,171,Sauto
Volvo,V60,2013,271421,159000,Nafta,Automatická,120,Sauto
Mercedes Benz,Tridy C,2009,240800,159000,Benzín,Automatická,135,Sauto
Škoda,Rapid,2018,200308,159000,benzín,manual,70,Autoesa
Volkswagen,Golf,2009,170267,159000,benzín,manual,90,Autoesa
Opel,Meriva,2012,69828,159000,Benzín,Manuální,88,Sauto
Ford,Focus,2018,209300,159000,Nafta,Manuální,88,Sauto
Ford,Galaxy,2009,175336,159000,nafta,manual,103,Autoesa
Mercedes Benz,Tridy E,2010,309000,159000,Nafta,Automatická,150,Sauto
Mazda,6,2014,191000,159000,Nafta,Manuální,110,Sauto
Renault,Clio,2015,84610,159000,benzín,manual,54,Autoesa
Mazda,6,2009,186597,159000,Benzín,Manuální,108,Sauto
Volkswagen,Touran,2008,178072,159000,Nafta,Manuální,77,Sauto
Volvo,Xc90,2006,280000,159000,Nafta,Automatická,136,Sauto
Volkswagen,Golf,2009,170267,159000,Benzín,Manuální,90,Sauto
BMW,Řada,2009,161906,159000,benzín,manual,160,Autoesa
Mercedes Benz,Vito,2008,252400,159000,Nafta,Manuální,85,Sauto
Renault,Scénic,2016,74197,159000,benzín,manual,97,Autoesa
Bmw,Rada 3,2009,161906,159000,Benzín,Manuální,160,Sauto
Peugeot,308,2016,193400,159000,Nafta,Manuální,73,Sauto
Ford,S Max,2012,136000,159000,Benzín,Manuální,118,Sauto
Citroën,C4,2013,189519,159000,nafta,manual,84,Autoesa
Citroen,C Crosser,2012,159300,159000,Nafta,Automatická,115,Sauto
Citroen,C3,2019,218000,159000,Benzín,Manuální,61,Sauto
Citroen,C4 Aircross,2013,189519,159000,Nafta,Manuální,84,Sauto
Škoda,Fabia,2014,127576,159000,benzín,manual,63,Autoesa
Renault,Clio,2019,162000,159000,Benzín,Manuální,56,Sauto
Citroen,Berlingo,2014,179800,159000,Nafta,Manuální,68,Sauto
Škoda,Octavia,2009,135324,159000,benzín,manual,90,Autoesa
Škoda,Octavia,2011,109930,159000,benzín,manual,90,Autoesa
Citroën,Berlingo,2016,114924,159800,nafta,manual,73,Autoesa
Land Rover,Freelander,2010,220000,159900,Nafta,Manuální,112,Sauto
Jeep,Compass,2013,146205,159900,Nafta,Manuální,120,Sauto
Nissan,Qashqai,2011,148357,159900,Nafta,Manuální,81,Sauto
Mazda,6,2009,115000,159900,Benzín,Manuální,108,Sauto
Mercedes Benz,Clk,2005,169500,159900,Benzín,Automatická,160,Sauto
Nissan,X Trail,2008,197000,159900,Nafta,Manuální,110,Sauto
Bmw,Rada 1,2008,198130,159900,Benzín,Manuální,125,Sauto
Seat,Toledo,2013,180007,159900,Nafta,Manuální,77,Sauto
Nissan,Juke,2013,116700,159900,Benzín,Manuální,69,Sauto
Opel,Astra,2014,113292,159900,Nafta,Manuální,100,Sauto
Nissan,Juke,2010,195700,159900,Benzín,Manuální,86,Sauto
Nissan,Micra,2016,85054,159900,Benzín,Manuální,59,Sauto
Mazda,6,2009,137677,159900,Benzín,Manuální,108,Sauto
Renault,Scenic,2014,179500,159900,Nafta,Manuální,81,Sauto
Mazda,3,2013,93051,159900,Nafta,Manuální,77,Sauto
Mazda,5,2011,182000,159900,Benzín,Manuální,110,Sauto
Mazda,3,2010,170000,159900,Benzín,Manuální,77,Sauto
Land Rover,Freelander,2010,211907,159900,Nafta,Manuální,112,Sauto
Ford,C Max,2012,140264,159990,Benzín,Manuální,77,Sauto
Seat,Toledo,2016,182426,159990,Benzín,Manuální,81,Sauto
Hyundai,I30,2016,168543,159990,Benzín,Manuální,99,Sauto
Hyundai,I30,2015,181384,159990,Benzín,Manuální,88,Sauto
Citroen,Jumpy,2013,203281,159990,Nafta,Manuální,66,Sauto
Mazda,3,2011,73700,159990,Benzín,Manuální,77,Sauto
Hyundai,I30,2013,139744,159990,Nafta,Manuální,81,Sauto
Volkswagen,Tiguan,2025,153395,159990,Benzín,Manuální,110,Sauto
Volkswagen,Touareg,2008,260398,159990,Nafta,Automatická,176,Sauto
Citroen,Ds5,2014,293776,159990,Nafta,Automatická,133,Sauto
Citroen,C4,2016,99731,159990,Benzín,Manuální,81,Sauto
Kia,Soul,2014,192960,159990,Benzín,Manuální,97,Sauto
Renault,Megane,2014,45349,159990,Benzín,Manuální,85,Sauto
Citroen,C4 Picasso,2014,179911,159990,Nafta,Manuální,85,Sauto
Nissan,Qashqai,2012,163267,159999,Nafta,Manuální,96,Sauto
Opel,Insignia,2014,221475,159999,Nafta,Automatická,120,Sauto
Mazda,5,2009,168138,159999,Benzín,Manuální,85,Sauto
Bmw,X3,2013,387777,159999,Nafta,Automatická,190,Sauto
Mercedes Benz,Tridy B,2009,134725,159999,Benzín,Automatická,85,Sauto
Mazda,3,2010,105554,159999,Benzín,Manuální,77,Sauto
Renault,Megane,2015,87873,159999,Benzín,Manuální,85,Sauto
Land Rover,Freelander,2010,149870,159999,Nafta,Manuální,112,Sauto
Volkswagen,Golf,2010,153543,160000,benzín,manual,118,Autoesa
Volkswagen,Up!,2014,148635,160000,benzín,manual,55,Autoesa
Renault,Scénic,2016,160007,160000,nafta,manual,96,Autoesa
Volkswagen,Polo,2013,131505,160000,benzín,manual,66,Autoesa
Renault,Trafic,2006,208577,160000,nafta,manual,74,Autoesa
Mazda,6,2012,128599,160000,Benzín,Manuální,114,Sauto
Renault,Fluence,2014,80027,160000,Benzín,Manuální,82,Sauto
Škoda,Octavia,2009,178978,160000,benzín,manual,147,Autoesa
Renault,Kangoo,2015,62736,160000,benzín,manual,84,Autoesa
Skoda,Fabia,2019,145210,160000,Benzín,Manuální,70,Sauto
Audi,A5,2014,159580,160000,benzín,manual,125,Autoesa
Peugeot,308,2017,123895,160000,benzín,manual,81,Autoesa
Opel,Zafira,2012,141202,160000,benzín,manual,85,Autoesa
Opel,Astra,2016,132621,160000,nafta,manual,81,Autoesa
Nissan,Juke,2015,108275,160000,Benzín,Manuální,85,Sauto
Kia,Carens,2016,177586,160000,LPG + benzín,manual,99,Autoesa
Citroën,C4,2013,76869,160000,benzín,manual,70,Autoesa
Renault,Espace,2009,227000,160000,Benzín,Manuální,125,Sauto
Bmw,Rada 3,2015,278527,160000,Nafta,Manuální,105,Sauto
Kia,Cee D,2013,146702,160000,Benzín,Manuální,99,Sauto
Opel,Astra,2012,149734,160000,Benzín,Manuální,103,Sauto
Ford,Galaxy,2010,184077,160000,nafta,manual,103,Autoesa
Mazda,6,2012,86370,160000,Nafta,Manuální,95,Sauto
Citroën,C5,2013,93454,160000,nafta,manual,84,Autoesa
Nissan,Qashqai,2012,187980,160000,Nafta,Manuální,81,Sauto
Ford,Focus,2013,33534,160000,benzín,manual,92,Autoesa
Peugeot,208,2015,145404,160000,nafta,manual,73,Autoesa
Volvo,S60,2011,263030,160000,Nafta,Automatická,120,Sauto
Peugeot,5008,2015,189056,160000,nafta,manual,84,Autoesa
Peugeot,208,2014,41082,160000,nafta,manual,50,Autoesa
Opel,Insignia,2009,71732,160000,Nafta,Manuální,118,Sauto
Opel,Meriva,2017,93209,160000,Benzín,Manuální,74,Sauto
Volkswagen,Golf,2009,104385,160000,benzín,manual,59,Autoesa
Volkswagen,Touran,2007,173510,160000,benzín,automat,125,Autoesa
Nissan,Qashqai,2011,202891,160000,Nafta,Automatická,110,Sauto
Ford,Focus,2014,170719,160000,Nafta,Manuální,103,Sauto
Nissan,Pathfinder,2006,268110,160000,Nafta,Manuální,128,Sauto
Citroen,Berlingo,2017,211888,160000,Nafta,Manuální,73,Sauto
Citroën,C3,2015,33363,160000,benzín,manual,50,Autoesa
Hyundai,I30,2016,144605,160000,Nafta,Manuální,88,Sauto
Peugeot,308,2014,97123,160000,benzín,manual,92,Autoesa
Mercedes Benz,Slk,2006,157000,160000,Benzín,Manuální,120,Sauto
Peugeot,508,2012,190512,160000,nafta,manual,103,Autoesa
Renault,Koleos,2012,186402,160000,nafta,manual,110,Autoesa
Opel,Zafira,2011,136095,160000,nafta,manual,81,Autoesa
BMW,Řada,2015,278527,160000,nafta,manual,105,Autoesa
Opel,Antara,2007,96100,160000,nafta,automat,110,Autoesa
Hyundai,I30,2016,144605,160000,nafta,manual,88,Autoesa
Nissan,Qashqai,2010,132557,160000,benzín,manual,84,Autoesa
Audi,A6,2010,234511,160000,nafta,automat,140,Autoesa
Renault,Scénic,2013,162445,160000,nafta,manual,96,Autoesa
BMW,X5,2005,180968,160000,nafta,automat,160,Autoesa
Nissan,Qashqai,2010,132557,160000,Benzín,Manuální,84,Sauto
Hyundai,I20,2017,146000,160000,benzín,manual,55,Autoesa
Ford,Fiesta,2015,96673,160000,benzín,manual,74,Autoesa
Peugeot,308,2017,123895,160000,Benzín,Manuální,81,Sauto
Mercedes-Benz,CLC,2009,136371,160000,benzín,manual,135,Autoesa
Hyundai,I10,2017,37444,160000,benzín,manual,49,Autoesa
Hyundai,I30,2013,148655,160000,nafta,manual,81,Autoesa
Peugeot,308,2016,169418,160000,nafta,manual,88,Autoesa
Škoda,Octavia,2013,311096,160000,nafta,automat,110,Autoesa
Citroen,C4,2015,108059,160000,Benzín,Manuální,81,Sauto
Opel,Insignia,2014,260000,160000,Nafta,Automatická,143,Sauto
Audi,A3,2011,249825,160000,nafta,manual,103,Autoesa
Citroen,C3 Picasso,2016,114361,160000,Nafta,Manuální,73,Sauto
Nissan,Qashqai,2010,135107,160000,Benzín,Manuální,104,Sauto
Volkswagen,Polo,2013,131505,160000,Benzín,Manuální,66,Sauto
Renault,Scénic,2015,155852,160000,nafta,manual,96,Autoesa
Nissan,Juke,2010,151519,160000,LPG + benzín,Manuální,140,Sauto
Renault,Clio,2016,54816,160000,benzín,manual,54,Autoesa
Volkswagen,Golf,2012,128640,160000,benzín,manual,90,Autoesa
Audi,A3,2011,249825,160000,Nafta,Manuální,103,Sauto
Renault,Mégane,2014,125424,160000,benzín,manual,85,Autoesa
Ford,Focus,2017,194694,160000,nafta,manual,70,Autoesa
Citroen,C1,2016,47755,160000,Benzín,Manuální,60,Sauto
Volkswagen,Golf,2010,153543,160000,Benzín,Manuální,118,Sauto
Ford,C-MAX,2010,107500,160000,benzín,manual,77,Autoesa
Ford,Focus,2017,194694,160000,Nafta,Manuální,70,Sauto
Peugeot,3008,2014,135404,160000,nafta,manual,110,Autoesa
Nissan,Juke,2015,108275,160000,benzín,manual,85,Autoesa
BMW,Řada,2004,145071,160000,benzín,automat,141,Autoesa
Škoda,Rapid,2015,188454,160000,nafta,manual,66,Autoesa
Opel,Astra,2012,149734,160000,benzín,manual,103,Autoesa
Seat,Leon,2014,180000,161000,Benzín,Manuální,77,Sauto
