Značka,Model,Najeté km,Cena,Palivo,Převodovka,Výkon (kW),Stari
Renault,Megane,169000,30000,Benzin,Manualni,79,25
Renault,Megane,301828,30000,Nafta,Manualni,63,18
Renault,Clio,122547,30000,Benzin,Manualni,43,21
Seat,Cordoba,146108,30000,Benzin,Manualni,51,17
Hyundai,Atos,103659,30000,Benzin,Manualni,43,20
Peugeot,Partner,278548,30000,Nafta,Manualni,66,15
Citroen,C4 Picasso,253000,30000,Benzin,Manualni,92,17
Renault,Megane,222620,30000,Nafta,Manualni,75,23
Nissan,Micra,108000,30000,Benzin,Automaticka,40,32
Renault,Megane,237553,30000,Benzin,Manualni,83,21
Peugeot,207,189928,30000,Nafta,Manualni,50,15
Renault,Megane,341156,30000,Nafta,Manualni,96,18
Mazda,6,338755,30000,Nafta,Manualni,103,16
Skoda,Fabia,194703,30000,Benzin,Manualni,40,22
Renault,Clio,149612,30000,Benzin,Manualni,43,25
Nissan,Primera,249503,30000,Benzin,Manualni,85,19
Renault,Megane,341156,30000,Nafta,Manualni,96,18
Nissan,Qashqai,359154,30000,Nafta,Manualni,110,17
Citroen,C4 Picasso,268814,30000,Nafta,Automaticka,80,16
Kia,Rio,203569,32000,Benzin,Manualni,71,17
Renault,Thalia,97599,32000,Benzin,Manualni,55,22
Ford,Fiesta,151577,32000,Benzin,Manualni,51,20
Peugeot,206,195000,32000,Nafta,Manualni,50,22
Ford,Fiesta,151577,32000,Benzin,Manualni,51,20
Hyundai,I30,223058,32999,Nafta,Manualni,66,14
Hyundai,Getz,142000,33000,Benzin,Manualni,72,18
Skoda,Octavia,345135,33000,Nafta,Manualni,74,19
Skoda,Fabia,240000,33800,Nafta,Manualni,59,19
Ford,Mondeo,220830,34000,Nafta,Manualni,85,21
Renault,Thalia,115633,34000,Benzin,Manualni,55,23
Opel,Agila,270000,34000,Benzin,Manualni,55,22
Opel,Agila,192400,34877,Benzin,Manualni,43,23
Opel,Combo,286600,34900,Benzin,Manualni,66,15
Nissan,Primera,200816,34900,Benzin,Manualni,85,18
Seat,Alhambra,270477,34900,Nafta,Manualni,96,20
Mazda,5,157970,34900,Nafta,Manualni,105,17
Citroen,Xsara Picasso,252779,34990,Nafta,Manualni,80,18
Kia,Rio,195184,34999,Benzin,Manualni,71,20
Ford,Fiesta,109504,35000,Benzin,Manualni,51,21
Hyundai,I20,168265,35000,Benzin,Manualni,57,15
Opel,Zafira,241072,35000,Nafta,Manualni,74,24
Opel,Meriva,150818,35000,Benzin,Manualni,74,20
Seat,Ibiza,190356,35000,Benzin,Manualni,63,18
Opel,Zafira,241072,35000,Nafta,Manualni,74,24
Citroen,C3,127539,35000,Benzin,Manualni,54,21
Seat,Ibiza,139196,35000,Benzin,Manualni,55,23
Seat,Ibiza,215000,35000,Benzin,Manualni,63,17
Renault,Thalia,124900,35000,Benzin,Manualni,72,19
Opel,Meriva,150818,35000,Benzin,Manualni,74,20
Volvo,S40,205785,35000,Benzin,Automaticka,100,25
Citroen,C3,210411,35000,Benzin,Manualni,54,19
Hyundai,Matrix,123721,35000,Benzin,Manualni,76,20
Nissan,Almera,271649,35000,Nafta,Manualni,100,21
Opel,Agila,69852,35000,Benzin,Manualni,44,18
Citroen,C3,210411,35000,Benzin,Manualni,54,19
Renault,Clio,136760,35000,Benzin,Manualni,55,17
BMW,Rada 3,339850,35000,Nafta,Manualni,150,22
Renault,Clio,136760,35000,Benzin,Manualni,55,17
Peugeot,307,215256,35000,Nafta,Manualni,80,19
Mazda,2,165550,35000,Benzin,Manualni,55,21
Renault,Megane,139060,35000,Benzin,Manualni,70,23
Hyundai,Getz,167600,35000,Benzin,Manualni,62,20
Kia,Picanto,70651,35000,Benzin,Manualni,45,18
Nissan,Micra,199860,35000,Nafta,Manualni,60,22
Peugeot,207,247124,35000,Benzin,Manualni,65,17
Ford,Fiesta,109504,35000,Benzin,Manualni,51,21
Nissan,Pixo,297160,35900,Benzin,Manualni,50,15
Ford,Galaxy,298000,35900,Nafta,Manualni,85,22
Skoda,Fabia,205622,36000,Benzin,Manualni,40,20
Citroen,C4,144327,36000,Benzin,Manualni,65,18
Renault,Megane,214900,36000,Benzin,Manualni,83,21
Mazda,6,213000,36000,Nafta,Manualni,105,18
Citroen,C4,144327,36000,Benzin,Manualni,65,18
Seat,Ibiza,134125,36000,Benzin,Manualni,51,18
Ford,Focus,171444,37000,Benzin,Manualni,74,23
Renault,Modus,213208,37000,Nafta,Manualni,63,19
Renault,Megane,219055,37000,Benzin,Manualni,83,22
Skoda,Fabia,67938,37000,Benzin,Manualni,40,21
Nissan,Primera,170200,37777,Nafta,Manualni,93,22
Opel,Meriva,173000,38000,Benzin,Manualni,66,19
Citroen,C3,208750,38000,Benzin,Manualni,44,20
Citroen,C3,140000,38000,Benzin,Manualni,44,19
Peugeot,307,190400,38990,Nafta,Manualni,80,20
Nissan,Note,264195,39000,Nafta,Manualni,50,19
Nissan,Note,264195,39000,Nafta,Manualni,50,19
Peugeot,308,162407,39000,Benzin,Manualni,88,16
Seat,Alhambra,348196,39000,Nafta,Manualni,85,23
Renault,Scenic,212500,39000,Benzin,Manualni,82,19
Peugeot,307,230476,39000,Benzin,Manualni,65,19
Renault,Clio,131300,39000,Benzin,Manualni,55,18
Seat,Ibiza,145306,39000,Benzin,Manualni,63,18
Renault,Megane,159608,39000,Nafta,Manualni,88,20
Renault,Megane,102122,39000,Benzin,Manualni,82,19
