Značka,Model,Najeté km,Cena,Palivo,Převodovka,Výkon (kW),Stari
BMW,Rada 5,308000,229000,Nafta,Automaticka,190,14
Volkswagen,Passat,251169,229000,Nafta,Automaticka,110,10
Kia,Ceed,148420,229000,Benzin,Manualni,73,7
Hyundai,Ix20,32541,229000,Benzin,Manualni,66,8
Citroen,C4 Picasso,104000,229000,Nafta,Manualni,88,10
Opel,Insignia,156268,229000,Nafta,Automaticka,125,10
Jeep,Grand Cherokee,190000,229000,Nafta,Automaticka,160,17
Seat,Alhambra,133551,229900,Nafta,Manualni,103,15
Land Rover,Freelander,208976,229900,Nafta,Manualni,110,12
Volvo,V40,131000,229900,Nafta,Manualni,88,9
Citroen,Berlingo,90691,229900,Benzin,Manualni,70,11
Citroen,C3 Aircross,83523,229900,Benzin,Manualni,60,7
Citroen,C3 Aircross,94000,229900,Benzin,Manualni,61,6
Jeep,Grand Cherokee,170000,229900,Benzin,Automaticka,223,14
Opel,Astra,157500,229990,Benzin,Manualni,92,9
Peugeot,508,148852,229990,Nafta,Manualni,110,7
Kia,Venga,53813,229990,Benzin,Manualni,66,8
Peugeot,308,96000,229990,Benzin,Manualni,81,7
BMW,Rada 7,363840,229999,Nafta,Automaticka,180,16
BMW,Rada 1,208219,229999,Nafta,Automaticka,85,9
Hyundai,I30,60256,229999,Benzin,Manualni,88,8
Volvo,V60,241054,229999,Nafta,Automaticka,158,11
Audi,A4,238544,229999,Nafta,Manualni,150,12
Citroen,C3,116700,229999,Nafta,Manualni,73,9
Ford,Mondeo,277055,229999,Nafta,Manualni,132,9
Opel,Crossland,77199,230000,Benzin,Manualni,81,8
Audi,A4,287292,230000,Nafta,Automaticka,180,13
Kia,Cee D,49627,230000,Benzin,Manualni,99,10
Opel,Astra,107864,230000,Nafta,Manualni,81,9
Citroen,C3,38499,230000,Benzin,Manualni,60,8
Skoda,Octavia,126751,230000,Benzin,Manualni,77,12
Hyundai,I40,148766,230000,Nafta,Automaticka,100,11
Nissan,X Trail,162998,230000,Benzin,Manualni,120,10
Volkswagen,Polo,143348,230000,Benzin,Automaticka,77,12
Volkswagen,Golf,29651,230000,Benzin,Manualni,77,14
Ford,Kuga,82863,230000,Nafta,Manualni,103,14
Opel,Mokka,98476,230000,Nafta,Manualni,96,11
Skoda,Octavia,194293,230000,Nafta,Manualni,85,7
Opel,Zafira,131640,230000,Nafta,Manualni,100,11
Hyundai,I30,98701,230000,Nafta,Automaticka,94,12
Seat,Leon,204156,230000,Nafta,Automaticka,135,10
Opel,Astra,107864,230000,Nafta,Manualni,81,9
Seat,Toledo,127510,230000,Benzin,Manualni,81,9
Seat,Leon,147315,230000,Benzin,Manualni,92,10
Peugeot,308,188524,230000,Nafta,Manualni,75,5
Skoda,Octavia,135007,230000,Nafta,Manualni,66,10
Renault,Talisman,220962,230000,Nafta,Automaticka,118,9
Peugeot,4008,160750,230000,Nafta,Manualni,84,11
Opel,Crossland,89053,230000,Benzin,Manualni,60,7
Opel,Astra,92076,230000,Nafta,Manualni,100,6
Kia,Sportage,165549,230000,Benzin,Manualni,99,10
Seat,Ibiza,138378,230000,Benzin,Manualni,110,9
Skoda,Superb,193211,230000,Nafta,Automaticka,125,12
Renault,Megane,53489,230000,Benzin,Manualni,74,8
Kia,Rio,36788,230000,Benzin,Manualni,62,8
Ford,Galaxy,263666,230000,Nafta,Automaticka,154,8
Mazda,Cx 3,202106,230000,Nafta,Manualni,77,8
Kia,Rio,36788,230000,Benzin,Manualni,62,8
Seat,Leon,183298,230000,Benzin,Manualni,132,10
Opel,Mokka,98476,230000,Nafta,Manualni,96,11
Hyundai,Ix35,161322,230000,Nafta,Automaticka,135,11
Opel,Astra,82413,230000,Benzin,Manualni,74,8
Volkswagen,Golf,186746,230000,Benzin,Automaticka,103,12
Seat,Ibiza,138378,230000,Benzin,Manualni,110,9
Skoda,Octavia,158311,230000,Benzin,Manualni,85,8
Seat,Leon,147315,230000,Benzin,Manualni,92,10
Citroen,Grand C4 Picasso,140621,230000,Nafta,Manualni,110,10
Hyundai,I30,98701,230000,Nafta,Automaticka,94,12
Volvo,Xc60,293098,230000,Nafta,Manualni,133,11
Skoda,Yeti,92457,230000,Benzin,Manualni,77,12
Kia,Ceed,2147816,230000,Nafta,Manualni,100,5
Volvo,Xc60,312899,230000,Nafta,Automaticka,120,12
Opel,Insignia,110327,230000,Benzin,Automaticka,184,12
Opel,Corsa,65916,230000,Benzin,Manualni,55,5
Hyundai,I10,74855,230000,Benzin,Manualni,49,5
Volkswagen,Tiguan,284803,230000,Nafta,Manualni,130,12
Volkswagen,Touareg,219387,230000,Nafta,Automaticka,176,15
Volkswagen,Touran,197255,230000,Nafta,Manualni,103,12
Ford,Focus,111049,230000,Benzin,Manualni,110,10
Citroen,Ds4,128422,230000,Nafta,Automaticka,120,11
Peugeot,2008,88025,230000,Benzin,Manualni,96,9
Peugeot,308,126998,230000,Benzin,Manualni,81,6
Seat,Leon,192000,230000,Nafta,Automaticka,85,8
Volkswagen,Sharan,286918,230000,Nafta,Manualni,125,14
Kia,Cee D,71401,230000,Benzin,Automaticka,99,12
Land Rover,Range Rover Evoque,266049,230000,Nafta,Manualni,110,13
Volkswagen,Tiguan,101734,230000,Benzin,Manualni,90,13
Skoda,Fabia,91696,230000,Benzin,Manualni,66,10
Audi,A4,287292,230000,Nafta,Automaticka,180,13
Ford,Grand,158153,230000,Nafta,Manualni,88,8
Kia,Ceed,71401,230000,Benzin,Automaticka,99,12
Seat,Alhambra,204300,230000,Nafta,Manualni,103,15
Kia,Cee D,2147816,230000,Nafta,Manualni,100,5
Nissan,Qashqai,146219,230000,Benzin,Manualni,104,13
Nissan,Qashqai,146219,230000,Benzin,Manualni,104,13
Volvo,V60,196407,230000,Nafta,Manualni,120,14
Citroen,Ds3,41000,230000,Benzin,Manualni,115,13
Hyundai,I40,182286,230000,Nafta,Automaticka,104,9
Kia,Ceed,49627,230000,Benzin,Manualni,99,10
BMW,Rada 3,100824,230000,Nafta,Manualni,85,11
Opel,Astra,92076,230000,Nafta,Manualni,100,6
Kia,Rio,65211,230000,Benzin,Manualni,61,8
Kia,Rio,120285,230000,Benzin,Manualni,88,8
Opel,Combo,191454,230200,Nafta,Manualni,96,7
Opel,Insignia,76760,232000,Nafta,Manualni,125,8
Nissan,Qashqai,126082,232000,Benzin,Manualni,104,13
Nissan,Qashqai,126082,232000,Benzin,Manualni,104,13
Renault,Captur,93091,232000,Benzin,Manualni,66,8
Kia,Soul,121815,232000,Nafta,Automaticka,100,9
Volkswagen,Golf,168556,232000,Nafta,Manualni,81,10
Volkswagen,Passat,141365,232200,Benzin,Manualni,155,14
Volvo,V40,165469,233000,Nafta,Automaticka,110,12
Kia,Ceed,101551,233000,Benzin,Manualni,88,6
Skoda,Octavia,198882,233000,Nafta,Manualni,85,7
Skoda,Octavia,197000,233000,Nafta,Manualni,81,9
Kia,Cee D,101551,233000,Benzin,Manualni,88,6
Peugeot,308,138900,233800,Nafta,Manualni,96,5
Peugeot,308,156417,234000,Nafta,Manualni,96,5
Audi,Q5,201215,234000,Nafta,Automaticka,176,16
Volkswagen,Sharan,178700,234000,Nafta,Manualni,103,14
BMW,X1,151696,234999,Nafta,Automaticka,105,11
Volkswagen,Passat,161168,235000,Nafta,Manualni,103,14
Seat,Leon,232800,235000,Nafta,Manualni,135,12
Citroen,C3,101282,235000,Benzin,Manualni,61,6
Land Rover,Discovery,272794,235000,Nafta,Automaticka,180,14
Opel,Astra,80249,235000,Benzin,Manualni,92,8
Opel,Astra,80249,235000,Benzin,Manualni,92,8
Renault,Clio,73000,235000,Benzin,Automaticka,88,10
Volvo,Xc90,231511,235000,Nafta,Automaticka,120,16
Volkswagen,Golf,123800,235000,Benzin,Manualni,81,10
Volvo,Xc60,207511,235000,Nafta,Automaticka,120,16
Citroen,C4,87911,235000,Benzin,Manualni,96,7
Audi,A4,160678,235000,Nafta,Manualni,140,15
Ford,S-Max,246630,235000,Nafta,Automaticka,132,10
Ford,S-Max,109072,235000,Benzin,Automaticka,149,12
Citroen,Grand C4 Picasso,225339,235000,Nafta,Automaticka,88,10
Skoda,Rapid,143295,235000,Nafta,Manualni,85,8
Kia,Sportage,112302,235000,Benzin,Manualni,99,14
Kia,Sportage,129505,235000,Nafta,Manualni,85,11
Audi,A4,160678,235000,Nafta,Manualni,140,15
Nissan,Qashqai,256986,235000,Nafta,Manualni,96,8
Skoda,Octavia,124438,235000,Nafta,Manualni,81,10
Nissan,Qashqai,182000,235000,Nafta,Manualni,96,12
Volkswagen,Caddy,229696,235000,Nafta,Manualni,75,9
Volvo,S60,191200,235000,Nafta,Automaticka,110,8
Citroen,C3,79848,235000,Benzin,Manualni,81,6
Citroen,C3 Aircross,101282,235000,Benzin,Manualni,61,6
Ford,S Max,109072,235000,Benzin,Automaticka,149,12
Seat,Alhambra,225911,235000,Nafta,Manualni,103,14
Opel,Mokka,93092,235000,Nafta,Manualni,100,8
Peugeot,2008,79788,235000,Benzin,Automaticka,81,9
Audi,A5,196000,235000,Benzin,Manualni,125,13
Seat,Alhambra,176307,235000,Nafta,Manualni,103,14
Renault,Megane,187571,236000,Nafta,Manualni,85,5
Citroen,C4 Picasso,149999,237000,Nafta,Automaticka,110,10
Peugeot,208,42803,237300,Benzin,Manualni,75,5
Seat,Leon,142725,238000,Nafta,Manualni,135,10
Skoda,Octavia,172854,238000,Nafta,Manualni,85,7
Hyundai,I30,79269,238000,Benzin,Manualni,88,8
Seat,Alhambra,246500,238000,Benzin,Automaticka,110,13
Jeep,Cherokee,180000,238000,Benzin,Automaticka,136,31
Peugeot,308,123767,238000,Benzin,Manualni,96,5
Renault,Espace,253000,238000,Nafta,Manualni,96,9
Seat,Leon,213865,238000,Benzin,Automaticka,85,5
Peugeot,308,67453,238000,Benzin,Manualni,81,7
Opel,Astra,108884,238000,Nafta,Manualni,77,5
Hyundai,I30,71233,239000,Benzin,Manualni,88,9
Renault,Megane,154241,239000,Nafta,Manualni,85,7
Peugeot,508,147858,239000,Nafta,Manualni,110,7
Volkswagen,Touran,195580,239000,Nafta,Manualni,77,11
Opel,Crossland X,93070,239000,Benzin,Manualni,81,6
Opel,Insignia,125194,239000,Nafta,Automaticka,143,11
BMW,Rada 3,241800,239000,Nafta,Automaticka,105,11
BMW,Rada 3,285000,239000,Nafta,Automaticka,105,11
Nissan,Juke,61518,239000,Benzin,Manualni,69,9
Opel,Mokka,91174,239000,Benzin,Manualni,103,9
Opel,Astra,163802,239000,Nafta,Manualni,77,3
Citroen,C4 Aircross,121000,239000,Benzin,Manualni,86,11
Renault,Megane,154241,239000,Nafta,Manualni,85,7
Seat,Leon,157883,239000,Benzin,Manualni,92,7
Seat,Alhambra,172573,239000,Nafta,Automaticka,103,14
Jeep,Renegade,230000,239000,Nafta,Manualni,88,9
Mazda,3,168000,239000,Nafta,Automaticka,110,11
Peugeot,308,116900,239000,Nafta,Automaticka,110,10
Land Rover,Discovery,283000,239000,Nafta,Automaticka,155,14
Skoda,Octavia,184268,239000,Nafta,Manualni,110,11
Peugeot,308,75025,239000,Benzin,Automaticka,96,10
Citroen,Jumper,334000,239000,Nafta,Manualni,88,14
Skoda,Yeti,154019,239000,Benzin,Manualni,81,9
Audi,A3,155500,239000,Benzin,Automaticka,92,14
Skoda,Octavia,164885,239000,Nafta,Manualni,85,8
Nissan,Nv200,180795,239000,Nafta,Manualni,81,9
Kia,Picanto,31181,239000,Benzin,Manualni,49,6
Mazda,3,230541,239000,Benzin,Manualni,121,10
Citroen,C4 Picasso,121600,239000,Nafta,Manualni,88,9
Volkswagen,Passat,275733,239800,Nafta,Manualni,110,10
Volkswagen,Touran,153449,239800,Benzin,Manualni,77,10
Kia,Cee D,154300,239877,Nafta,Manualni,100,8
Seat,Leon,147053,239900,Benzin,Manualni,96,6
Hyundai,I30,69000,239900,Benzin,Manualni,88,8
Nissan,Navara,139295,239900,Nafta,Manualni,98,20
BMW,Rada 5,139950,239900,Benzin,Automaticka,200,18
Peugeot,308,76602,239900,Benzin,Manualni,81,6
Seat,Alhambra,294900,239900,Nafta,Automaticka,103,15
Citroen,Grand C4 Picasso,157442,239900,Nafta,Manualni,110,10
Mazda,Cx 5,276000,239900,Nafta,Manualni,110,12
Opel,Mokka,147262,239900,Benzin,Manualni,103,11
Ford,Focus,107722,239900,Benzin,Manualni,88,7
Seat,Leon,134626,239900,Benzin,Manualni,90,12
Hyundai,Ix35,148165,239900,Nafta,Manualni,100,12
Nissan,Qashqai,141560,239900,Benzin,Manualni,86,12
Kia,Sportage,176000,239990,Nafta,Automaticka,135,12
Nissan,Qashqai,134400,239990,Benzin,Manualni,85,11
Opel,Astra,111672,239999,Nafta,Manualni,77,5
Audi,A4,276972,239999,Nafta,Automaticka,110,10
BMW,Rada 6,240851,239999,Benzin,Automaticka,190,21
Citroen,C4 Picasso,113995,239999,Benzin,Manualni,96,9
Audi,A6,321517,239999,Benzin,Automaticka,220,14
Audi,A1,74600,239999,Benzin,Manualni,70,9
Audi,Q5,221174,239999,Benzin,Automaticka,155,16
Audi,Tt,233478,239999,Benzin,Automaticka,184,18
Peugeot,3008,55888,239999,Nafta,Manualni,84,11
Opel,Zafira,229468,240000,Nafta,Manualni,125,9
Citroen,Jumpy,173303,240000,Nafta,Manualni,88,14
Volkswagen,Golf,177519,240000,Benzin,Manualni,90,12
Peugeot,2008,77501,240000,Benzin,Automaticka,81,9
Audi,Q7,158273,240000,Benzin,Automaticka,206,17
Volkswagen,Passat,229665,240000,Nafta,Automaticka,103,12
BMW,Rada 3,232729,240000,Nafta,Automaticka,135,11
Kia,Cee D,26680,240000,Benzin,Manualni,73,10
Volkswagen,Tiguan,185021,240000,Benzin,Manualni,132,13
Volkswagen,Tiguan,63305,240000,Benzin,Manualni,125,17
Volkswagen,Sharan,209529,240000,Nafta,Automaticka,100,13
Kia,Sportage,217022,240000,Nafta,Manualni,85,9
Volkswagen,Tiguan,181102,240000,Benzin,Manualni,118,14
Citroen,C3,50721,240000,Benzin,Manualni,61,6
Volkswagen,Beetle,109191,240000,Benzin,Manualni,118,13
Volkswagen,Passat,190611,240000,Nafta,Automaticka,130,12
Nissan,Pathfinder,137419,240000,Nafta,Manualni,126,18
Seat,Leon,98735,240000,Benzin,Manualni,77,11
Nissan,Qashqai,126050,240000,Benzin,Manualni,104,14
Hyundai,Ix35,113008,240000,Nafta,Manualni,100,11
Skoda,Superb,141734,240000,Nafta,Manualni,77,12
Mazda,2,72366,240000,Benzin,Manualni,55,7
Hyundai,Ix35,113008,240000,Nafta,Manualni,100,11
Peugeot,2008,85314,240000,Benzin,Manualni,60,7
Peugeot,2008,84914,240000,Nafta,Manualni,73,9
Peugeot,3008,55920,240000,Nafta,Manualni,88,9
Renault,Megane,161069,240000,Nafta,Automaticka,85,6
Hyundai,I30,130500,240000,Nafta,Manualni,81,7
Renault,Kadjar,78359,240000,Benzin,Manualni,96,9
Kia,Ceed,26680,240000,Benzin,Manualni,73,10
Seat,Leon,98735,240000,Benzin,Manualni,77,11
Renault,Megane,122422,240000,Nafta,Manualni,66,6
Skoda,Octavia,179914,240000,Nafta,Automaticka,110,11
Citroen,Jumper,214789,240000,Nafta,Manualni,81,8
Skoda,Scala,164996,240000,Benzin,Manualni,85,6
Kia,Venga,13459,240000,Benzin,Manualni,66,8
Skoda,Fabia,86469,240000,Benzin,Manualni,55,6
Hyundai,I30,115192,240000,Nafta,Automaticka,81,8
Opel,Astra,118521,240000,Benzin,Automaticka,110,9
Skoda,Superb,141324,240000,Benzin,Manualni,118,11
Peugeot,508,202325,240000,Nafta,Automaticka,133,9
Skoda,Octavia,160003,240000,Nafta,Automaticka,110,12
Hyundai,Ix35,58942,240000,Nafta,Manualni,100,14
Skoda,Fabia,132844,240000,Benzin,Manualni,70,5
Volvo,Xc60,238000,240000,Nafta,Automaticka,158,13
Skoda,Octavia,183274,240000,Nafta,Manualni,110,12
Audi,Q7,158273,240000,Benzin,Automaticka,206,17
Hyundai,I30,163443,240000,Benzin,Manualni,103,7
Hyundai,I30,115192,240000,Nafta,Automaticka,81,8
Peugeot,308,98075,240000,Benzin,Automaticka,96,10
Skoda,Rapid,110114,240000,Benzin,Manualni,70,7
Audi,A5,233751,240000,Benzin,Manualni,125,14
Skoda,Fabia,138657,240000,Benzin,Manualni,70,4
Peugeot,2008,80057,240000,Benzin,Manualni,81,7
Citroen,C4,100109,240000,Benzin,Automaticka,96,8
Renault,Megane,95925,240000,Benzin,Manualni,84,8
Citroen,C4 Cactus,108041,240000,Benzin,Manualni,81,7
Peugeot,508,137407,240000,Nafta,Manualni,110,9
Volkswagen,Polo,96047,240000,Benzin,Manualni,44,8
Opel,Mokka,76673,240000,Benzin,Manualni,85,9
Hyundai,Ix35,58942,240000,Nafta,Manualni,100,14
Kia,Carens,157844,240000,Nafta,Automaticka,104,9
Mazda,Cx 5,168613,240000,Benzin,Manualni,118,12
Audi,A6,240074,240000,Nafta,Automaticka,130,14
Peugeot,Expert,228662,242000,Nafta,Manualni,90,5
BMW,X1,167832,242000,Nafta,Automaticka,105,12
Renault,Kangoo,123626,242999,Nafta,Manualni,70,5
Skoda,Octavia,190932,243000,Nafta,Manualni,85,8
Opel,Zafira,118543,243000,Benzin,Automaticka,103,9
Skoda,Octavia,185727,243000,Nafta,Manualni,110,10
Opel,Crossland X,123700,244000,Benzin,Manualni,96,6
BMW,Rada 5,281131,244000,Nafta,Automaticka,160,11
Renault,Zoe,117345,244000,Elektro,Automaticka,68,6
Jeep,Grand Cherokee,289429,244000,Nafta,Automaticka,160,15
Opel,Crossland,135000,244877,Benzin,Manualni,81,8
Citroen,C4,114900,244877,Benzin,Manualni,81,5
Nissan,Juke,114756,244990,Benzin,Manualni,83,6
Skoda,Rapid,107800,245000,Benzin,Automaticka,90,11
Seat,Ibiza,125012,245000,Benzin,Manualni,141,9
Skoda,Octavia,181259,245000,Nafta,Manualni,85,8
Mazda,3,185000,245000,Benzin,Manualni,88,9
Volkswagen,Tiguan,82843,245000,Benzin,Manualni,90,13
Peugeot,308,127753,245000,Nafta,Manualni,96,6
Skoda,Octavia,194181,245000,Benzin,Automaticka,132,11
Seat,Leon,110607,245000,Nafta,Manualni,77,10
Peugeot,208,70284,245000,Benzin,Manualni,81,7
Nissan,Pathfinder,288778,245000,Nafta,Automaticka,170,14
Peugeot,208,61665,245000,Benzin,Manualni,55,4
Citroen,C3,63899,245000,Benzin,Manualni,81,7
Skoda,Fabia,133260,245000,Benzin,Manualni,70,6
Ford,Kuga,152350,245000,Benzin,Manualni,110,10
Ford,Kuga,162624,245000,Nafta,Automaticka,103,11
Volkswagen,Passat,156381,245000,Nafta,Manualni,103,12
Opel,Mokka,86400,245000,Benzin,Manualni,103,12
Volvo,Xc60,236385,245000,Nafta,Automaticka,120,15
Renault,Grand Espace,170000,245000,Benzin,Manualni,125,10
Audi,A3,84855,245000,Benzin,Manualni,92,13
Opel,Mokka,59927,245000,Benzin,Manualni,103,11
Volvo,Xc70,294000,245000,Nafta,Automaticka,151,15
Ford,Mondeo,254568,245000,Nafta,Automaticka,132,9
Skoda,Fabia,133260,245000,Benzin,Manualni,70,6
Mazda,3,154221,245000,Benzin,Manualni,88,9
Ford,Kuga,162624,245000,Nafta,Automaticka,103,11
Ford,Kuga,162555,245000,Nafta,Automaticka,120,12
Seat,Leon,110607,245000,Nafta,Manualni,77,10
Skoda,Rapid,156696,245000,Nafta,Manualni,85,8
Volkswagen,Golf,146030,245000,Nafta,Manualni,81,9
Opel,Insignia,143308,246000,Nafta,Automaticka,125,9
Renault,Kangoo,106844,246100,Nafta,Manualni,70,5
Kia,Cee D,155000,248000,Benzin,Manualni,74,4
Peugeot,2008,62446,248000,Benzin,Manualni,61,7
Land Rover,Discovery,298204,248000,Nafta,Automaticka,188,13
Skoda,Superb,196161,248000,Nafta,Manualni,103,11
Opel,Astra,157526,248000,Nafta,Automaticka,90,5
Skoda,Superb,249560,248000,Nafta,Manualni,110,9
Opel,Zafira,148638,248000,Benzin,Manualni,103,8
Ford,Focus,109813,248000,Nafta,Manualni,70,5
Audi,A6 Avant,283143,248000,Nafta,Automaticka,130,12
BMW,Rada 3,221310,248000,Benzin,Manualni,200,17
Citroen,C3,170000,248000,Benzin,Automaticka,81,5
Skoda,Yeti,74550,248000,Benzin,Automaticka,77,11
Volvo,Xc60,359950,248000,Nafta,Automaticka,162,10
Renault,Kangoo,92197,248100,Nafta,Manualni,66,6
Ford,Transit,159839,248100,Nafta,Manualni,74,8
Renault,Megane,79900,248800,Nafta,Manualni,66,7
Seat,Leon,150098,248900,Benzin,Automaticka,77,12
BMW,Rada 3,232894,248999,Nafta,Automaticka,105,10
Peugeot,508,85162,249000,Nafta,Automaticka,150,12
Volkswagen,Sharan,149220,249000,Benzin,Manualni,110,15
BMW,Rada 5,219186,249000,Nafta,Automaticka,190,14
Opel,Astra,155860,249000,Nafta,Manualni,100,9
Renault,Megane,158613,249000,Nafta,Manualni,85,5
Peugeot,508,85162,249000,Nafta,Automaticka,150,12
Volvo,Xc60,261788,249000,Nafta,Manualni,136,16
Seat,Alhambra,199000,249000,Nafta,Automaticka,103,11
Land Rover,Range Rover,267100,249000,Benzin,Automaticka,291,19
Jeep,Grand Cherokee,238000,249000,Nafta,Automaticka,160,17
Citroen,Berlingo,122218,249000,Benzin,Manualni,81,6
Volvo,Xc60,221477,249000,Benzin,Automaticka,149,15
Volvo,Xc60,241450,249000,Nafta,Manualni,129,16
Mazda,Cx 3,176590,249000,Nafta,Manualni,88,9
Renault,Kadjar,157300,249000,Benzin,Manualni,96,9
Skoda,Yeti,142968,249000,Benzin,Manualni,77,11
BMW,Rada 5,260000,249000,Nafta,Automaticka,190,14
Jeep,Grand Cherokee,145000,249000,Nafta,Automaticka,160,18
Opel,Astra,140000,249000,Nafta,Manualni,90,4
Skoda,Octavia,203747,249000,Nafta,Manualni,110,9
Seat,Leon,192309,249000,Nafta,Manualni,110,9
Peugeot,308,157638,249000,Nafta,Manualni,75,6
Mazda,6,223000,249000,Benzin,Manualni,121,12
Kia,Cee D,163981,249000,Nafta,Manualni,85,6
Hyundai,Kona,101448,249000,Benzin,Manualni,88,6
Peugeot,2008,54035,249000,Benzin,Manualni,60,7
Nissan,X Trail,233180,249000,Nafta,Manualni,96,10
Jeep,Cherokee,155000,249000,Nafta,Automaticka,130,17
Volkswagen,Golf,172000,249000,Nafta,Manualni,85,7
Peugeot,308,156000,249000,Nafta,Manualni,96,6
Peugeot,308,83987,249000,Nafta,Manualni,73,7
Opel,Astra,155860,249000,Nafta,Manualni,100,9
Seat,Leon,168275,249000,Nafta,Automaticka,110,9
Kia,Carens,120492,249000,Benzin,Manualni,99,9
Renault,Megane,158613,249000,Nafta,Manualni,85,5
Peugeot,2008,74650,249000,Benzin,Manualni,81,6
Ford,Kuga,105973,249000,Nafta,Manualni,103,11
Ford,Kuga,147000,249000,Benzin,Manualni,110,10
Renault,Espace,213555,249000,Nafta,Automaticka,118,8
Audi,Q5,263000,249000,Nafta,Automaticka,176,16
Citroen,Berlingo,215594,249000,Nafta,Automaticka,96,6
Land Rover,Freelander,160697,249000,Nafta,Automaticka,110,13
Volvo,V40,133532,249000,Nafta,Manualni,84,11
Nissan,Qashqai,149984,249000,Benzin,Manualni,104,12
Citroen,Berlingo,78378,249000,Nafta,Manualni,73,7
Kia,Rio,121251,249000,Benzin,Automaticka,73,8
Peugeot,2008,54035,249000,Benzin,Manualni,60,7
Land Rover,Freelander,187457,249000,Nafta,Automaticka,110,12
Nissan,Qashqai,149984,249000,Benzin,Manualni,104,12
BMW,X3,229000,249000,Nafta,Automaticka,135,14
Volkswagen,Passat,163990,249000,Nafta,Manualni,130,12
Nissan,Qashqai,179252,249000,Nafta,Manualni,96,9
Ford,Kuga,105973,249000,Nafta,Manualni,103,11
Renault,Kangoo,123912,249300,Nafta,Manualni,66,6
Seat,Ibiza,66178,249800,Benzin,Manualni,70,8
Kia,Carens,112300,249877,Benzin,Manualni,99,10
Nissan,Qashqai,200600,249877,Nafta,Manualni,96,10
Hyundai,Tucson,175701,249900,Nafta,Manualni,85,9
Hyundai,Ix20,71688,249900,Benzin,Manualni,92,7
Audi,A4,173076,249900,Nafta,Manualni,125,14
Land Rover,Range Rover Sport,249700,249900,Nafta,Automaticka,180,15
Land Rover,Range Rover,249700,249900,Nafta,Automaticka,180,15
Mazda,3,169900,249900,Benzin,Manualni,88,11
Seat,Leon,90102,249900,Benzin,Manualni,92,7
Nissan,Qashqai,63000,249900,Benzin,Manualni,85,10
Opel,Zafira,96581,249900,Benzin,Manualni,103,11
Mazda,6,152000,249900,Nafta,Automaticka,151,11
Seat,Leon,153080,249900,Benzin,Manualni,81,10
Kia,Sportage,126431,249900,Nafta,Manualni,100,11
Kia,Carens,140036,249900,Benzin,Manualni,99,8
Seat,Leon,189654,249900,Nafta,Automaticka,135,10
Nissan,Qashqai,129100,249900,Nafta,Manualni,81,10
Peugeot,308,92804,249900,Benzin,Manualni,81,6
Hyundai,I20,55009,249900,Benzin,Manualni,55,5
Citroen,C4 Spacetourer,155679,249900,Nafta,Manualni,96,7
Seat,Alhambra,200000,249900,Nafta,Manualni,103,13
Citroen,Grand C4 Spacetourer,99349,249900,Benzin,Manualni,96,7
Nissan,Patrol,336618,249900,Nafta,Manualni,85,29
Citroen,Berlingo,133065,249900,Nafta,Manualni,88,9
BMW,Rada 1,159312,249900,Nafta,Manualni,105,11
Nissan,Navara,188540,249900,Nafta,Automaticka,126,15
Jeep,Patriot,142584,249900,Nafta,Manualni,120,14
Nissan,Juke,72011,249990,Benzin,Manualni,85,9
Jeep,Grand Cherokee,180300,249990,Nafta,Automaticka,160,19
Nissan,Qashqai,152943,249990,Benzin,Automaticka,85,9
Hyundai,Santa Fe,283228,249990,Nafta,Automaticka,145,11
BMW,Rada 5,171646,249999,Nafta,Manualni,120,12
Opel,Astra,126163,249999,Benzin,Manualni,92,8
Volvo,V40,125360,249999,Nafta,Automaticka,84,11
Volvo,Xc90,288902,249999,Nafta,Automaticka,173,9
Audi,A5,301977,249999,Nafta,Automaticka,180,14
Opel,Astra,133216,249999,Benzin,Manualni,92,6
Citroen,C3,52748,249999,Benzin,Manualni,61,5
Hyundai,I30,58972,249999,Benzin,Manualni,88,7
Hyundai,I30,59352,249999,Benzin,Manualni,88,7
Seat,Leon,167000,249999,Benzin,Automaticka,110,9
Jeep,Cherokee,113569,249999,Nafta,Automaticka,130,15
Seat,Alhambra,191100,249999,Nafta,Automaticka,103,13
Land Rover,Discovery,143600,250000,Nafta,Automaticka,140,20
Renault,Megane,60297,250000,Benzin,Manualni,85,6
Renault,Kadjar,152725,250000,Nafta,Manualni,96,10
Kia,Ceed,43583,250000,Benzin,Manualni,74,7
Renault,Scenic,214712,250000,Nafta,Manualni,96,7
Renault,Scenic,111220,250000,Benzin,Manualni,97,8
Renault,Scenic,165780,250000,Nafta,Manualni,96,8
BMW,Rada 3,177419,250000,Nafta,Manualni,85,10
Skoda,Scala,148992,250000,Benzin,Manualni,70,5
Renault,Megane,60297,250000,Benzin,Manualni,85,6
Citroen,C4,179679,250000,Nafta,Manualni,110,11
Seat,Ibiza,54741,250000,Benzin,Manualni,66,7
Seat,Alhambra,229393,250000,Nafta,Manualni,103,14
Renault,Megane,136370,250000,Nafta,Manualni,96,8
BMW,X1,142979,250000,Nafta,Automaticka,105,12
Peugeot,308,112889,250000,Benzin,Automaticka,96,8
Nissan,Micra,85700,250000,Benzin,Manualni,74,6
Peugeot,2008,76445,250000,Benzin,Automaticka,81,8
Volkswagen,Golf,143923,250000,Nafta,Manualni,110,11
Peugeot,208,54754,250000,Benzin,Manualni,81,6
Peugeot,2008,86105,250000,Benzin,Automaticka,81,8
